,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
26,facebook,2019-10-08T16:55:42.349+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,93,0,-1,-1,37,-1,-1,31.13.92.14,,132,value,
27,facebook,2019-10-08T16:55:42.349+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,119,0,-1,-1,115,-1,-1,31.13.92.14,,235,value,
28,facebook,2019-10-08T16:55:42.349+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,112,0,-1,-1,3,-1,-1,31.13.92.14,,116,value,
29,facebook,2019-10-08T16:55:42.368+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,166,0,-1,-1,1,-1,-1,31.13.92.36,,167,,
30,facebook,2019-10-08T16:55:42.430+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,125,0,-1,-1,10,-1,-1,31.13.92.14,,137,value,
31,facebook,2019-10-08T16:55:42.479+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,103,0,-1,-1,2,-1,-1,31.13.92.14,,106,value,
32,facebook,2019-10-08T16:55:42.558+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,135,0,-1,-1,0,-1,-1,31.13.92.36,,136,,
33,facebook,2019-10-08T16:55:42.601+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,106,0,-1,-1,0,-1,-1,31.13.92.14,,107,,
34,facebook,2019-10-08T16:55:43.112+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,96,0,-1,-1,12,-1,-1,31.13.92.14,,109,value,
35,facebook,2019-10-08T16:55:43.212+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,143,0,1674,0,0,0,1698,31.13.92.36,,1844,,
36,facebook,2019-10-08T16:55:46.307+03:00,GET,https://cx.atdmt.com/?f=AYxiTRSvTs2dLVyI68PQ-4z33cAasRarizWVxouL4LMvCkGelYvsn6GR6Nr5tqg5Q2FnOtKVMcYMSSCFHUHpuIIG&c=1585492152&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,147,0,3554,30,0,0,3572,31.13.92.2,,3752,value,
37,facebook,2019-10-08T16:55:46.960+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44053,,,225,0,4301,38,109,0,4328,31.13.92.36,,4701,value,
38,facebook,2019-10-08T16:55:47.225+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,133,0,-1,-1,0,-1,-1,31.13.92.14,,135,value,
39,facebook,2019-10-08T16:55:47.226+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,107,0,-1,-1,75,-1,-1,31.13.92.14,,184,value,
40,facebook,2019-10-08T16:55:47.227+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,102,0,-1,-1,97,-1,-1,31.13.92.14,,200,value,
41,facebook,2019-10-08T16:55:47.256+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,106,0,-1,-1,9,-1,-1,31.13.92.14,,117,value,
42,facebook,2019-10-08T16:55:49.695+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,115,0,2412,28,4,0,2442,172.217.18.4,,2591,,
43,facebook,2019-10-08T16:55:49.924+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,130,0,-1,-1,0,-1,-1,31.13.92.14,,131,value,
44,facebook,2019-10-08T16:55:49.925+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,107,0,-1,-1,5,-1,-1,31.13.92.14,,114,value,
45,facebook,2019-10-08T16:55:49.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,115,0,-1,-1,19,-1,-1,31.13.92.14,,136,value,
46,facebook,2019-10-08T16:55:49.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,97,0,119,0,171,0,152,31.13.92.14,,422,value,
47,facebook,2019-10-08T16:55:49.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,124,0,-1,-1,107,-1,-1,31.13.92.14,,232,value,
48,facebook,2019-10-08T16:55:49.928+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,126,0,122,0,191,0,146,31.13.92.14,,464,value,
49,facebook,2019-10-08T16:55:50.048+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,96,0,-1,-1,89,-1,-1,31.13.92.14,,185,value,
50,facebook,2019-10-08T16:55:50.632+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2861,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,144,1,-1,-1,0,-1,-1,31.13.92.36,,146,,
51,facebook,2019-10-08T16:55:53.839+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,120,0,3968,1,127,0,3995,172.217.22.35,,4245,,
52,facebook,2019-10-08T16:55:54.111+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=ojq7i0a38znd,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10776,,,104,0,-1,-1,23,-1,-1,172.217.18.4,,129,value,
53,facebook,2019-10-08T16:55:54.263+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,106,0,-1,-1,63,-1,-1,172.217.22.35,,170,,
54,facebook,2019-10-08T16:55:54.414+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,83,0,121,0,188,0,153,172.217.22.35,,425,,
55,facebook,2019-10-08T16:55:54.754+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,106,0,-1,-1,5,-1,-1,172.217.18.4,,112,,
56,facebook,2019-10-08T16:55:54.869+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=8bou46fqxibo,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,102,0,-1,-1,3,-1,-1,172.217.18.4,,106,value,
57,facebook,2019-10-08T16:55:54.916+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,108,0,100,0,1,0,157,172.217.18.4,,267,value,
58,facebook,2019-10-08T16:55:55.026+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=gjq0ot%3Afa6kc0%3A9ubiku&__hsi=6745435032830630180-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570543980,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,31.13.92.36,,0,value,No response received
59,facebook,2019-10-08T16:55:55.050+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,172.217.22.35,,0,,No response received
