,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
10,facebook,2019-10-08T16:00:40.332+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1496,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,119,-1,0,-1,31.13.92.36,,121,
11,facebook,2019-10-08T16:00:40.375+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,0,-1,-1,87,-1,1,-1,31.13.92.14,,88,
12,facebook,2019-10-08T16:00:40.391+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,0,-1,-1,107,-1,1,-1,31.13.92.14,,109,
13,facebook,2019-10-08T16:00:40.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/ya/l/he_IL/Hq3do1Env69.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344900,,,0,-1,-1,99,-1,154,-1,31.13.92.14,,255,
14,facebook,2019-10-08T16:00:41.094+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,-1,-1,142,-1,0,-1,31.13.92.36,,144,
15,facebook,2019-10-08T16:00:41.242+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,-1,-1,110,-1,0,-1,31.13.92.36,,112,
16,facebook,2019-10-08T16:00:41.252+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,86,-1,0,-1,31.13.92.14,,88,
17,facebook,2019-10-08T16:00:41.285+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43546,,,0,-1,-1,191,-1,22,-1,31.13.92.36,,215,
18,facebook,2019-10-08T16:00:41.379+03:00,GET,https://cx.atdmt.com/?f=AYxvyaXKfsMuJt4Cr2t-KrcL4v45Rb2ZD9pRnGyOcTOIDvrnyp1e5KXFX0JSRy2ZcKaWZH7p-cvmxcgSJJH-zBSA&c=2016323205&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,0,-1,-1,129,-1,0,-1,31.13.92.2,,129,
19,facebook,2019-10-08T16:00:41.509+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,1,-1,-1,92,-1,0,-1,31.13.92.14,,94,
20,facebook,2019-10-08T16:00:41.509+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,-1,-1,88,-1,72,-1,31.13.92.14,,161,
21,facebook,2019-10-08T16:00:41.510+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,1,-1,-1,109,-1,13,-1,31.13.92.14,,124,
22,facebook,2019-10-08T16:00:41.510+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,-1,-1,118,-1,121,-1,31.13.92.14,,241,
23,facebook,2019-10-08T16:00:41.813+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,280,0,103,304,2,0,172.217.18.4,,410,
24,facebook,2019-10-08T16:00:42.022+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,-1,90,-1,1,-1,31.13.92.14,,92,
25,facebook,2019-10-08T16:00:42.023+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,0,-1,-1,87,-1,194,-1,31.13.92.14,,281,
26,facebook,2019-10-08T16:00:42.023+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,0,-1,-1,98,-1,7,-1,31.13.92.14,,106,
27,facebook,2019-10-08T16:00:44.507+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,2520,26,91,2551,134,0,172.217.22.35,,2804,
28,facebook,2019-10-08T16:00:44.770+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=npmylca1ugy0,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9700,,,0,-1,-1,114,-1,31,-1,172.217.18.4,,146,
29,facebook,2019-10-08T16:00:44.901+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,-1,96,-1,50,-1,172.217.22.35,,147,
30,facebook,2019-10-08T16:00:45.048+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,91,0,86,144,150,0,172.217.22.35,,383,
31,facebook,2019-10-08T16:00:45.316+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,-1,-1,99,-1,2,-1,172.217.18.4,,102,
32,facebook,2019-10-08T16:00:45.421+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,-1,101,-1,0,-1,172.217.18.4,,102,
33,facebook,2019-10-08T16:00:45.484+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=gkz2m5jpc2dv,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,133,0,99,163,1,0,172.217.18.4,,265,
34,facebook,2019-10-08T16:00:45.543+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,-1,-1,85,-1,42,-1,172.217.22.35,,127,
35,facebook,2019-10-08T16:00:45.661+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=vosaqg%3A3t5l12%3Azqe0sg&__hsi=6745420866418156753-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540682,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,31.13.92.36,,0,No response received
