,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
31,facebook,2019-10-08T16:29:53.336+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,0,113,-1,-1,-1,4,31.13.92.14,,118,value,
32,facebook,2019-10-08T16:29:53.386+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,133,-1,-1,-1,0,31.13.92.36,,134,,
33,facebook,2019-10-08T16:29:53.392+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,0,92,-1,-1,-1,2,31.13.92.14,,96,value,
34,facebook,2019-10-08T16:29:53.529+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,134,-1,-1,-1,0,31.13.92.36,,135,,
35,facebook,2019-10-08T16:29:53.623+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,104,-1,-1,-1,0,31.13.92.14,,105,,
36,facebook,2019-10-08T16:29:54.793+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44050,,,955,0,217,32,0,982,126,31.13.92.36,,1359,value,
37,facebook,2019-10-08T16:29:55.030+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,0,99,-1,-1,-1,0,31.13.92.14,,100,value,
38,facebook,2019-10-08T16:29:55.031+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,0,98,-1,-1,-1,7,31.13.92.14,,106,value,
39,facebook,2019-10-08T16:29:55.031+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,0,93,-1,-1,-1,90,31.13.92.14,,184,value,
40,facebook,2019-10-08T16:29:55.372+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,0,99,-1,-1,-1,48,31.13.92.14,,148,value,
41,facebook,2019-10-08T16:29:55.419+03:00,GET,https://cx.atdmt.com/?f=AYxt5ugw6etJd9mNpNniqt6cvmTZRKBHafvxO6t_DzmY2HSqSgvSAnDqdPX13Y6Hwux1va3e7oJrAJph-afSywtB&c=1824322249&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1589,0,140,30,0,1616,0,31.13.92.2,,1788,value,
42,facebook,2019-10-08T16:30:00.747+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,5698,0,107,0,0,5727,2,172.217.18.4,,5838,,
43,facebook,2019-10-08T16:30:00.971+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,0,94,-1,-1,-1,11,31.13.92.14,,106,value,
44,facebook,2019-10-08T16:30:00.972+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,0,92,-1,-1,-1,1,31.13.92.14,,94,value,
