,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-08T19:58:36.605+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,111,-1,-1,0,-1,169,-1,31.13.92.14,,282,value,
29,facebook,2019-10-08T19:58:36.606+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,101,-1,-1,0,-1,67,-1,31.13.92.14,,169,value,
30,facebook,2019-10-08T19:58:36.606+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,106,-1,-1,0,-1,0,-1,31.13.92.14,,107,value,
31,facebook,2019-10-08T19:58:36.606+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,95,-1,-1,0,-1,9,-1,31.13.92.14,,104,value,
32,facebook,2019-10-08T19:58:36.693+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,130,-1,-1,0,-1,0,-1,157.240.1.35,,132,,
33,facebook,2019-10-08T19:58:36.723+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,94,-1,-1,0,-1,3,-1,31.13.92.14,,97,value,
34,facebook,2019-10-08T19:58:36.766+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,104,-1,-1,0,-1,0,-1,31.13.92.14,,105,,
35,facebook,2019-10-08T19:58:36.829+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,133,-1,-1,0,-1,0,-1,157.240.1.35,,134,,
36,facebook,2019-10-08T19:58:38.711+03:00,GET,https://cx.atdmt.com/?f=AYzuyWOrNuXMnXpzGFfXW9laSqklfdR8SiWEQaUk-HKUVlG3PGsxqu3oKqu24PRbbG_wehHQ8DgpcngGWbDUnjjC&c=1994004129&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,132,42,1584,0,1613,0,0,31.13.92.2,,1789,value,
37,facebook,2019-10-08T19:58:39.473+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43933,,,211,0,2386,0,2420,127,0,31.13.92.36,,2760,value,
38,facebook,2019-10-08T19:58:39.732+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,87,-1,-1,0,-1,0,-1,31.13.92.14,,88,value,
39,facebook,2019-10-08T19:58:39.733+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,90,-1,-1,1,-1,16,-1,31.13.92.14,,108,value,
40,facebook,2019-10-08T19:58:39.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,85,0,125,1,151,108,0,31.13.92.14,,345,value,
41,facebook,2019-10-08T19:58:39.734+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,101,-1,-1,0,-1,34,-1,31.13.92.14,,137,value,
42,facebook,2019-10-08T19:58:42.185+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,102,1,2401,0,2451,3,0,216.58.205.228,,2559,,
43,facebook,2019-10-08T19:58:42.412+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,101,-1,-1,0,-1,34,-1,31.13.92.14,,137,value,
44,facebook,2019-10-08T19:58:42.412+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,117,-1,-1,0,-1,2,-1,31.13.92.14,,120,value,
45,facebook,2019-10-08T19:58:42.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,143,-1,-1,0,-1,11,-1,31.13.92.14,,155,value,
46,facebook,2019-10-08T19:58:42.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,130,0,130,1,162,165,0,31.13.92.14,,460,value,
47,facebook,2019-10-08T19:58:42.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,113,-1,-1,0,-1,120,-1,31.13.92.14,,234,value,
48,facebook,2019-10-08T19:58:42.546+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yJ/l/he_IL/4LiLi7s2lA_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136464,,,101,-1,-1,0,-1,142,-1,31.13.92.14,,244,value,
49,facebook,2019-10-08T19:58:42.558+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,102,-1,-1,0,-1,8,-1,31.13.92.14,,111,value,
50,facebook,2019-10-08T19:58:44.173+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,101,36,1786,0,1813,138,0,172.217.22.35,,2091,,
