,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
34,facebook,2019-10-12T08:25:32.214+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,0,87,-1,-1,39,-1,157.240.1.23,,127,value,
35,facebook,2019-10-12T08:25:32.214+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,-1,0,90,-1,-1,66,-1,157.240.1.23,,158,value,
36,facebook,2019-10-12T08:25:32.243+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,0,100,-1,-1,15,-1,157.240.1.23,,116,value,
37,facebook,2019-10-12T08:25:32.246+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,-1,0,104,-1,-1,18,-1,157.240.1.23,,123,value,
38,facebook,2019-10-12T08:25:32.299+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,105,3870,0,1,3894,157.240.1.35,,4002,,
39,facebook,2019-10-12T08:25:34.876+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,32,0,117,2597,0,4,2630,172.217.21.228,,2785,,
40,facebook,2019-10-12T08:25:35.120+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,-1,0,104,-1,-1,134,-1,157.240.1.23,,240,value,
41,facebook,2019-10-12T08:25:35.120+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17237,,,-1,0,100,-1,-1,15,-1,157.240.1.23,,116,value,
42,facebook,2019-10-12T08:25:35.121+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,697,,,-1,0,92,-1,-1,1,-1,157.240.1.23,,94,value,
43,facebook,2019-10-12T08:25:35.121+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,-1,0,91,-1,-1,82,-1,157.240.1.23,,174,value,
44,facebook,2019-10-12T08:25:37.522+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4642,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,112,-1,-1,0,-1,157.240.1.35,,113,,
45,facebook,2019-10-12T08:25:38.295+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,30,0,105,3217,0,133,3236,172.217.22.67,,3505,,
46,facebook,2019-10-12T08:25:38.558+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=m18xm3v0qzua,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9450,,,-1,0,118,-1,-1,17,-1,172.217.21.228,,136,value,
47,facebook,2019-10-12T08:25:38.715+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,1,97,-1,-1,66,-1,172.217.22.67,,165,,
48,facebook,2019-10-12T08:25:38.874+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,1,97,116,0,149,151,172.217.22.67,,399,,
49,facebook,2019-10-12T08:25:39.147+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,0,92,-1,-1,3,-1,172.217.21.228,,96,,
50,facebook,2019-10-12T08:25:39.248+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=il1hsaaw3ks2,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,0,101,-1,-1,1,-1,172.217.21.228,,102,value,
51,facebook,2019-10-12T08:25:39.302+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,98,116,0,0,151,172.217.21.228,,251,value,
52,facebook,2019-10-12T08:25:39.410+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001287745&__s=pgxzpe%3A0ju042%3Anajaqx&__hsi=6746787913094715373-0&__spin_r=1001287745&__spin_b=trunk&__spin_t=1570858972,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,157.240.1.35,,0,value,No response received
53,facebook,2019-10-12T08:25:39.424+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,172.217.22.67,,0,,No response received
