,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-09-28T18:59:22.027+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,306,-1,-1,-1,99,0,157.240.1.23,,407,value,
29,facebook,2019-09-28T18:59:22.031+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,17,-1,-1,-1,103,0,157.240.1.23,,121,value,
30,facebook,2019-09-28T18:59:22.052+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,7,-1,-1,-1,100,0,157.240.1.23,,108,value,
31,facebook,2019-09-28T18:59:22.085+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,0,-1,-1,-1,117,0,157.240.1.35,,118,,
32,facebook,2019-09-28T18:59:22.100+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,4,-1,-1,-1,91,0,157.240.1.23,,96,value,
33,facebook,2019-09-28T18:59:22.112+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,14,-1,-1,-1,91,0,157.240.1.23,,106,value,
34,facebook,2019-09-28T18:59:22.161+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,3,-1,-1,-1,95,0,157.240.1.23,,99,value,
35,facebook,2019-09-28T18:59:22.264+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,1,-1,-1,-1,95,0,157.240.1.23,,97,,
36,facebook,2019-09-28T18:59:25.858+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43097,,,3645,532,0,21,3552,199,1,157.240.1.35,,4400,value,
37,facebook,2019-09-28T18:59:26.082+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,231,-1,-1,-1,108,0,157.240.1.23,,340,value,
38,facebook,2019-09-28T18:59:26.082+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,10,-1,-1,-1,112,0,157.240.1.23,,123,value,
39,facebook,2019-09-28T18:59:26.212+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,450,-1,-1,-1,476,0,157.240.1.23,,927,value,
40,facebook,2019-09-28T18:59:28.196+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,1,-1,-1,-1,112,0,157.240.1.23,,114,value,
