,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-08T16:05:31.330+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,141,197,0,164,1,86,31.13.92.14,,425,,
11,facebook,2019-10-08T16:05:31.336+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,163,0,128,0,90,31.13.92.14,,255,,
12,facebook,2019-10-08T16:05:31.433+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,151,-1,-1,-1,0,111,31.13.92.14,,263,,
13,facebook,2019-10-08T16:05:31.567+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,6,-1,-1,-1,1,110,31.13.92.14,,118,,
14,facebook,2019-10-08T16:05:31.567+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,1,157,0,130,0,118,31.13.92.14,,278,,
15,facebook,2019-10-08T16:05:31.570+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,41,160,0,132,0,112,31.13.92.14,,315,,
16,facebook,2019-10-08T16:05:31.621+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/ya/l/he_IL/Hq3do1Env69.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344900,,,-1,211,-1,-1,-1,0,87,31.13.92.14,,299,value,
17,facebook,2019-10-08T16:05:32.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/CcQjMhoZ1M9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9894,,,-1,6,-1,-1,-1,0,101,31.13.92.14,,109,value,
18,facebook,2019-10-08T16:05:32.071+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,12,-1,-1,-1,0,106,31.13.92.14,,119,value,
19,facebook,2019-10-08T16:05:32.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yD/l/he_IL/ETjJqKfg52T.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17157,,,-1,38,-1,-1,-1,0,116,31.13.92.14,,155,value,
20,facebook,2019-10-08T16:05:32.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,-1,43,-1,-1,-1,0,100,31.13.92.14,,144,value,
21,facebook,2019-10-08T16:05:32.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,-1,41,-1,-1,-1,0,113,31.13.92.14,,155,value,
22,facebook,2019-10-08T16:05:32.185+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,-1,9,-1,-1,-1,1,98,31.13.92.14,,109,value,
23,facebook,2019-10-08T16:05:32.195+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,1,-1,-1,-1,0,96,31.13.92.14,,98,value,
24,facebook,2019-10-08T16:05:32.207+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,-1,0,132,31.13.92.36,,133,,
25,facebook,2019-10-08T16:05:32.221+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12193,,,-1,9,-1,-1,-1,0,93,31.13.92.14,,103,value,
26,facebook,2019-10-08T16:05:32.230+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/y7/l/he_IL/xp2pFQ4-vvd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11739,,,-1,10,-1,-1,-1,0,90,31.13.92.14,,100,value,
27,facebook,2019-10-08T16:05:32.232+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/x5pYHqT2ByM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3750,,,-1,2,-1,-1,-1,0,96,31.13.92.14,,99,value,
28,facebook,2019-10-08T16:05:32.296+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yR/l/he_IL/2QQfkxCVQB6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45874,,,-1,106,-1,-1,-1,0,93,31.13.92.14,,200,value,
29,facebook,2019-10-08T16:05:32.299+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/h-GkR7hjZkA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4423,,,-1,2,-1,-1,-1,0,89,31.13.92.14,,92,value,
30,facebook,2019-10-08T16:05:32.329+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/ZexQqjnLf-h.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14509,,,-1,25,-1,-1,-1,0,91,31.13.92.14,,117,value,
31,facebook,2019-10-08T16:05:32.335+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,1,-1,-1,-1,0,112,31.13.92.14,,114,value,
32,facebook,2019-10-08T16:05:32.346+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,-1,0,130,31.13.92.36,,132,,
33,facebook,2019-10-08T16:05:32.543+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,-1,-1,0,91,31.13.92.14,,92,,
34,facebook,2019-10-08T16:05:33.046+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,2,-1,-1,-1,0,87,31.13.92.14,,90,value,
35,facebook,2019-10-08T16:05:33.097+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,1731,0,1695,0,136,31.13.92.36,,1869,,
36,facebook,2019-10-08T16:05:36.671+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43540,,,0,129,4229,0,4176,0,225,31.13.92.36,,4586,value,
37,facebook,2019-10-08T16:05:36.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,-1,-1,0,92,31.13.92.14,,93,value,
38,facebook,2019-10-08T16:05:36.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,68,-1,-1,-1,0,101,31.13.92.14,,170,value,
39,facebook,2019-10-08T16:05:36.942+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,18,-1,-1,-1,0,124,31.13.92.14,,143,value,
40,facebook,2019-10-08T16:05:37.949+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1,1007,27,977,0,96,172.217.18.4,,1132,,
41,facebook,2019-10-08T16:05:38.110+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,69,-1,-1,-1,0,85,31.13.92.14,,155,value,
42,facebook,2019-10-08T16:05:38.157+03:00,GET,https://cx.atdmt.com/?f=AYwHCgU03-bBwWDX0cFfIjoKpsN4AMiMYUfD5GuFxfYe1g9NnjqKUMygPBNnyuLyifE2D6DraTsXIyuFZXnrJoG6&c=1884702074&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,0,5541,33,5512,0,129,31.13.92.2,,5706,value,
43,facebook,2019-10-08T16:05:38.319+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,1,-1,-1,-1,0,99,31.13.92.14,,101,value,
44,facebook,2019-10-08T16:05:38.319+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,240,-1,-1,-1,0,103,31.13.92.14,,344,value,
45,facebook,2019-10-08T16:05:38.319+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,42,-1,-1,-1,0,99,31.13.92.14,,142,value,
46,facebook,2019-10-08T16:05:39.194+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,151,1133,0,1094,0,102,172.217.22.35,,1389,,
47,facebook,2019-10-08T16:05:39.490+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=o9b1wzmufja3,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10645,,,-1,21,-1,-1,-1,0,137,172.217.18.4,,160,value,
48,facebook,2019-10-08T16:05:39.668+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,79,-1,-1,-1,1,87,172.217.22.35,,167,,
49,facebook,2019-10-08T16:05:39.834+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,155,161,0,134,1,86,172.217.22.35,,404,,
50,facebook,2019-10-08T16:05:40.101+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,3,-1,-1,-1,0,95,172.217.18.4,,99,,
51,facebook,2019-10-08T16:05:40.203+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,0,-1,-1,-1,0,104,172.217.18.4,,105,value,
52,facebook,2019-10-08T16:05:40.253+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=2q3nhy1zitzc,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,1,148,0,114,0,103,172.217.18.4,,254,value,
53,facebook,2019-10-08T16:05:40.325+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,96,-1,-1,-1,0,103,172.217.22.35,,200,,
54,facebook,2019-10-08T16:05:40.368+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,88,-1,-1,-1,0,87,172.217.22.35,,176,,
55,facebook,2019-10-08T16:05:40.597+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=z6a3ry%3Anvg227%3Ag6nftf&__hsi=6745422094767714071-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540967,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,31.13.92.36,,0,value,No response received
