,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
33,facebook,2019-10-12T16:10:39.911+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,97,0,-1,-1,8,-1,-1,31.13.92.14,,106,value,
34,facebook,2019-10-12T16:10:39.936+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,96,0,-1,-1,2,-1,-1,31.13.92.14,,99,value,
35,facebook,2019-10-12T16:10:39.986+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,103,0,-1,-1,0,-1,-1,157.240.1.35,,105,,
36,facebook,2019-10-12T16:10:40.232+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,31.13.92.14,,0,,No response received
37,facebook,2019-10-12T16:10:41.287+03:00,GET,https://cx.atdmt.com/?f=AYzGcej-_-Z4HGhyv6I1QQPoLmHzLV6eQuLWyceWpS5W48884ffDx0relS6Jz-S3j7X7Se_-tOmLsECOiQ0nkFRi&c=808580358&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,167,1,881,34,0,914,0,31.13.92.2,,1118,value,
38,facebook,2019-10-12T16:10:43.277+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yd/l/he_IL/IdNhFImyk-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27563,,,108,0,-1,-1,57,-1,-1,31.13.92.14,,166,value,
39,facebook,2019-10-12T16:10:43.360+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,135,1,4540,27,1,4567,0,31.13.92.36,,4733,,
40,facebook,2019-10-12T16:10:44.583+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44518,,,197,0,4211,0,137,4244,0,31.13.92.36,,4580,value,
41,facebook,2019-10-12T16:10:44.800+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,89,0,-1,-1,76,-1,-1,31.13.92.14,,166,value,
42,facebook,2019-10-12T16:10:44.800+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,103,0,-1,-1,4,-1,-1,31.13.92.14,,108,value,
43,facebook,2019-10-12T16:10:44.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,102,0,133,0,159,167,0,31.13.92.14,,430,value,
44,facebook,2019-10-12T16:10:44.800+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,114,0,-1,-1,0,-1,-1,31.13.92.14,,116,value,
