,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.wait,timings.dns,timings.send,serverIPAddress,comment,time,response._error
14,facebook,2019-10-08T19:49:02.084+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,16,-1,-1,-1,95,-1,0,31.13.92.14,,111,
15,facebook,2019-10-08T19:49:02.087+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,151,0,118,90,0,0,31.13.92.14,,244,
16,facebook,2019-10-08T19:49:02.094+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,29,156,0,125,109,0,0,31.13.92.14,,296,
17,facebook,2019-10-08T19:49:02.160+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,67,-1,-1,-1,104,-1,0,31.13.92.14,,171,
18,facebook,2019-10-08T19:49:02.160+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34959,,,87,-1,-1,-1,93,-1,0,31.13.92.14,,181,
19,facebook,2019-10-08T19:49:02.161+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yZ/l/he_IL/GqtoXrLiI4m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136856,,,90,-1,-1,-1,99,-1,0,31.13.92.14,,190,
20,facebook,2019-10-08T19:49:02.161+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,138,-1,-1,-1,107,-1,0,31.13.92.14,,246,
21,facebook,2019-10-08T19:49:02.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,37,-1,-1,-1,97,-1,0,31.13.92.14,,135,
22,facebook,2019-10-08T19:49:02.496+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,-1,-1,-1,114,-1,0,31.13.92.36,,116,
23,facebook,2019-10-08T19:49:02.617+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,-1,-1,-1,105,-1,0,31.13.92.36,,107,
24,facebook,2019-10-08T19:49:02.632+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43931,,,74,-1,-1,-1,239,-1,0,31.13.92.36,,315,
25,facebook,2019-10-08T19:49:02.710+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,1,-1,-1,-1,97,-1,0,31.13.92.14,,99,
26,facebook,2019-10-08T19:49:02.736+03:00,GET,https://cx.atdmt.com/?f=AYzAS-CrzdbR2ynT02lFWxn3WYyqeZ8FGOBvIGoCJZqQj1WhH4Nv1lAPmyl6GCUKxXUF7UNXqq3besXh1y8m-neB&c=681145941&v=1&l=2,HTTP/1.1,value,650,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,1,-1,-1,-1,139,-1,0,31.13.92.2,,141,
27,facebook,2019-10-08T19:49:02.922+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1731,0,1704,112,0,1,172.217.18.4,,1847,
28,facebook,2019-10-08T19:49:02.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,-1,92,-1,0,31.13.92.14,,93,
29,facebook,2019-10-08T19:49:02.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,28,-1,-1,-1,103,-1,0,31.13.92.14,,132,
30,facebook,2019-10-08T19:49:02.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,124,-1,-1,-1,93,-1,0,31.13.92.14,,218,
31,facebook,2019-10-08T19:49:02.928+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,52,-1,-1,-1,98,-1,0,31.13.92.14,,151,
32,facebook,2019-10-08T19:49:03.195+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,17,-1,-1,-1,107,-1,0,31.13.92.14,,126,
33,facebook,2019-10-08T19:49:03.196+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,0,-1,-1,-1,141,-1,0,31.13.92.14,,143,
34,facebook,2019-10-08T19:49:03.198+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,76,-1,-1,-1,129,-1,0,31.13.92.14,,206,
35,facebook,2019-10-08T19:49:03.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,46,-1,-1,-1,104,-1,0,31.13.92.14,,151,
36,facebook,2019-10-08T19:49:03.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,82,-1,-1,-1,98,-1,0,31.13.92.14,,181,
37,facebook,2019-10-08T19:49:03.355+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yJ/l/he_IL/4LiLi7s2lA_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136464,,,161,-1,-1,-1,104,-1,0,31.13.92.14,,266,
38,facebook,2019-10-08T19:49:03.356+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,74,155,0,123,94,0,0,31.13.92.14,,325,
39,facebook,2019-10-08T19:49:04.650+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,131,1599,0,1569,108,0,0,172.217.22.35,,1841,
40,facebook,2019-10-08T19:49:04.922+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=jhoc4cldeadt,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10948,,,23,-1,-1,-1,124,-1,0,172.217.18.4,,149,
41,facebook,2019-10-08T19:49:05.084+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,61,-1,-1,-1,89,-1,0,172.217.22.35,,151,
42,facebook,2019-10-08T19:49:05.234+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,136,146,0,114,91,0,0,172.217.22.35,,375,
43,facebook,2019-10-08T19:49:05.489+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,9,-1,-1,-1,106,-1,0,172.217.18.4,,115,
44,facebook,2019-10-08T19:49:05.607+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=b7dr7ev4prie,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,1,-1,-1,-1,106,-1,0,172.217.18.4,,108,
45,facebook,2019-10-08T19:49:05.641+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,149,0,111,89,0,0,172.217.18.4,,240,
46,facebook,2019-10-08T19:49:05.729+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,46,-1,-1,-1,90,-1,0,172.217.22.35,,138,
47,facebook,2019-10-08T19:49:05.750+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,45,-1,-1,-1,79,-1,0,172.217.22.35,,125,
48,facebook,2019-10-08T19:49:05.910+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=60oxtn%3Asat44p%3A1odzga&__hsi=6745479716985238598-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570554384,HTTP/1.1,value,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,-1,0,31.13.92.36,,0,No response received
