,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-08T16:47:06.510+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,176,104,0,0,69,200,0,31.13.92.14,,375,,
11,facebook,2019-10-08T16:47:06.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,170,79,0,0,1,192,0,31.13.92.14,,274,,
12,facebook,2019-10-08T16:47:06.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,97,0,-1,178,-1,-1,31.13.92.14,,277,,
13,facebook,2019-10-08T16:47:06.701+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,107,0,-1,5,-1,-1,31.13.92.14,,113,,
14,facebook,2019-10-08T16:47:06.817+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,125,90,1,0,1,152,0,31.13.92.14,,246,,
15,facebook,2019-10-08T16:47:06.820+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,-1,96,0,-1,18,-1,-1,31.13.92.14,,115,,
16,facebook,2019-10-08T16:47:06.921+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34959,,,-1,112,0,-1,53,-1,-1,31.13.92.14,,166,value,
17,facebook,2019-10-08T16:47:06.935+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,-1,114,0,-1,178,-1,-1,31.13.92.14,,293,value,
18,facebook,2019-10-08T16:47:06.936+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,-1,84,0,-1,167,-1,-1,31.13.92.14,,252,value,
19,facebook,2019-10-08T16:47:06.938+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/y4/l/he_IL/V6m9_fjueG0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136839,,,-1,116,0,-1,220,-1,-1,31.13.92.14,,338,value,
20,facebook,2019-10-08T16:47:07.361+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,-1,104,0,-1,13,-1,-1,31.13.92.14,,118,value,
21,facebook,2019-10-08T16:47:07.361+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,-1,104,0,-1,28,-1,-1,31.13.92.14,,134,value,
22,facebook,2019-10-08T16:47:07.362+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,90,0,-1,18,-1,-1,31.13.92.14,,109,value,
23,facebook,2019-10-08T16:47:07.362+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,132,0,-1,0,-1,-1,31.13.92.14,,133,value,
24,facebook,2019-10-08T16:47:07.363+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,118,0,-1,11,-1,-1,31.13.92.14,,130,value,
25,facebook,2019-10-08T16:47:07.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,-1,108,0,-1,134,-1,-1,31.13.92.14,,244,value,
26,facebook,2019-10-08T16:47:07.481+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,-1,106,0,-1,30,-1,-1,31.13.92.14,,137,value,
27,facebook,2019-10-08T16:47:07.495+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,-1,125,0,-1,178,-1,-1,31.13.92.14,,304,value,
28,facebook,2019-10-08T16:47:07.499+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,122,0,-1,0,-1,-1,31.13.92.14,,123,value,
29,facebook,2019-10-08T16:47:07.501+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,120,0,-1,5,-1,-1,31.13.92.14,,127,value,
30,facebook,2019-10-08T16:47:07.571+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,123,0,-1,0,-1,-1,31.13.92.36,,124,,
31,facebook,2019-10-08T16:47:07.632+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,-1,132,0,-1,3,-1,-1,31.13.92.14,,135,value,
32,facebook,2019-10-08T16:47:07.700+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,133,0,-1,0,-1,-1,31.13.92.36,,134,,
33,facebook,2019-10-08T16:47:09.369+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44049,,,1434,217,0,0,108,1462,0,31.13.92.36,,1789,value,
34,facebook,2019-10-08T16:47:09.391+03:00,GET,https://cx.atdmt.com/?f=AYyH_1w1Xjlw79313mwqdV7xDvSYakK7pITbmTrxSdAWo0r8NUukMm4v4B2mpcFn8wN6vRGLZ9VIL-oZYr5Zx9U1&c=1709403022&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1442,134,0,28,0,1463,0,31.13.92.2,,1627,value,
35,facebook,2019-10-08T16:47:09.602+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,104,0,-1,1,-1,-1,31.13.92.14,,106,value,
36,facebook,2019-10-08T16:47:09.603+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,107,0,-1,70,-1,-1,31.13.92.14,,178,value,
37,facebook,2019-10-08T16:47:09.603+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,121,102,0,0,148,152,0,31.13.92.14,,404,value,
38,facebook,2019-10-08T16:47:09.604+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,110,0,-1,9,-1,-1,31.13.92.14,,120,value,
39,facebook,2019-10-08T16:47:11.199+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1555,112,0,0,1,1598,0,172.217.18.4,,1714,,
40,facebook,2019-10-08T16:47:11.400+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,92,0,-1,7,-1,-1,31.13.92.14,,100,value,
41,facebook,2019-10-08T16:47:11.401+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,99,0,-1,0,-1,-1,31.13.92.14,,100,value,
42,facebook,2019-10-08T16:47:11.401+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,111,0,-1,22,-1,-1,31.13.92.14,,134,value,
43,facebook,2019-10-08T16:47:11.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,97,0,-1,52,-1,-1,31.13.92.14,,150,value,
44,facebook,2019-10-08T16:47:11.403+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,132,104,0,0,183,159,0,31.13.92.14,,448,value,
45,facebook,2019-10-08T16:47:11.498+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,99,0,-1,85,-1,-1,31.13.92.14,,185,value,
46,facebook,2019-10-08T16:47:11.498+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,103,0,-1,86,-1,-1,31.13.92.14,,189,value,
47,facebook,2019-10-08T16:47:11.852+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,-1,107,0,-1,105,-1,-1,31.13.92.14,,213,value,
48,facebook,2019-10-08T16:47:11.914+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,5271,126,0,0,0,5302,0,31.13.92.36,,5431,,
49,facebook,2019-10-08T16:47:12.123+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,109,0,-1,0,-1,-1,31.13.92.14,,110,,
50,facebook,2019-10-08T16:47:15.319+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,3970,99,0,0,153,3994,0,172.217.22.35,,4248,,
51,facebook,2019-10-08T16:47:15.612+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=o0bcxpygaagi,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9663,,,-1,120,0,-1,21,-1,-1,172.217.18.4,,142,value,
52,facebook,2019-10-08T16:47:15.774+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,85,0,-1,65,-1,-1,172.217.22.35,,151,,
53,facebook,2019-10-08T16:47:15.919+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,121,84,0,0,211,148,0,172.217.22.35,,445,,
54,facebook,2019-10-08T16:47:15.919+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2880,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,113,0,-1,1,-1,-1,31.13.92.36,,114,,
55,facebook,2019-10-08T16:47:16.267+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,99,0,-1,3,-1,-1,172.217.18.4,,103,,
56,facebook,2019-10-08T16:47:16.374+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,98,0,-1,0,-1,-1,172.217.18.4,,99,value,
57,facebook,2019-10-08T16:47:16.431+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=m5ukxpz3477h,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,113,99,0,0,1,158,0,172.217.18.4,,260,value,
58,facebook,2019-10-08T16:47:16.491+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,-1,94,0,-1,0,-1,-1,172.217.22.35,,94,,
59,facebook,2019-10-08T16:47:16.574+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=qo8dtq%3Ag6aemm%3Anp4nat&__hsi=6745432820892842860-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570543465,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,0,-1,-1,31.13.92.36,,0,value,No response received
