,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
47,facebook,2019-10-12T15:34:42.804+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,0,102,3,-1,-1,31.13.92.14,,105,value,
48,facebook,2019-10-12T15:34:42.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,0,104,15,-1,-1,31.13.92.14,,120,value,
49,facebook,2019-10-12T15:34:42.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,0,127,175,-1,-1,31.13.92.14,,304,value,
50,facebook,2019-10-12T15:34:42.807+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,0,139,1,117,101,160,0,31.13.92.14,,380,value,
51,facebook,2019-10-12T15:34:42.807+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,0,143,0,126,2,175,0,31.13.92.14,,305,value,
52,facebook,2019-10-12T15:34:43.695+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,939,0,111,141,975,0,172.217.22.35,,1229,,
53,facebook,2019-10-12T15:34:43.972+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=rdss30epi9s4,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10728,,,-1,-1,0,110,24,-1,-1,172.217.18.4,,135,value,
54,facebook,2019-10-12T15:34:44.120+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,0,96,56,-1,-1,172.217.22.35,,153,,
55,facebook,2019-10-12T15:34:44.260+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,109,0,84,152,150,0,172.217.22.35,,388,,
56,facebook,2019-10-12T15:34:44.536+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,0,91,6,-1,-1,172.217.18.4,,98,,
57,facebook,2019-10-12T15:34:44.639+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=hb7ayf30nkwn,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,-1,0,97,8,-1,-1,172.217.18.4,,107,value,
58,facebook,2019-10-12T15:34:44.688+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,116,0,103,1,148,0,172.217.18.4,,253,value,
59,facebook,2019-10-12T15:34:44.828+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288592&__s=2j3oll%3Alobm7k%3Aup11bg&__hsi=6746898495729858318-0&__spin_r=1001288592&__spin_b=trunk&__spin_t=1570884719,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,value,No response received
60,facebook,2019-10-12T15:34:44.832+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,172.217.22.35,,0,,No response received
