,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
17,facebook,2019-10-08T16:38:49.124+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,-1,-1,146,94,0,-1,-1,31.13.92.14,,241,value,
18,facebook,2019-10-08T16:38:49.125+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,-1,136,99,0,-1,-1,31.13.92.14,,236,value,
19,facebook,2019-10-08T16:38:50.569+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,-1,158,126,0,-1,-1,31.13.92.14,,286,value,
20,facebook,2019-10-08T16:38:50.631+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,1800,1,133,0,1773,0,31.13.92.36,,1936,,
21,facebook,2019-10-08T16:38:50.936+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,-1,13,116,0,-1,-1,31.13.92.14,,130,value,
22,facebook,2019-10-08T16:38:50.937+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,-1,-1,46,93,0,-1,-1,31.13.92.14,,141,value,
23,facebook,2019-10-08T16:38:50.938+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,-1,-1,20,114,0,-1,-1,31.13.92.14,,135,value,
24,facebook,2019-10-08T16:38:50.940+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,-1,-1,19,110,0,-1,-1,31.13.92.14,,130,value,
25,facebook,2019-10-08T16:38:50.941+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,-1,-1,109,109,0,-1,-1,31.13.92.14,,219,value,
26,facebook,2019-10-08T16:38:50.941+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,-1,12,95,0,-1,-1,31.13.92.14,,109,value,
27,facebook,2019-10-08T16:38:51.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,-1,-1,203,112,0,-1,-1,31.13.92.14,,316,value,
28,facebook,2019-10-08T16:38:51.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,-1,30,98,1,-1,-1,31.13.92.14,,130,value,
29,facebook,2019-10-08T16:38:51.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,-1,-1,80,112,0,-1,-1,31.13.92.14,,192,value,
30,facebook,2019-10-08T16:38:51.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,1,108,0,-1,-1,31.13.92.14,,110,value,
31,facebook,2019-10-08T16:38:51.099+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,-1,7,108,0,-1,-1,31.13.92.14,,116,value,
32,facebook,2019-10-08T16:38:51.110+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,124,0,-1,-1,31.13.92.36,,126,,
33,facebook,2019-10-08T16:38:51.165+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,-1,3,94,0,-1,-1,31.13.92.14,,98,value,
34,facebook,2019-10-08T16:38:51.239+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,150,0,-1,-1,31.13.92.36,,151,,
35,facebook,2019-10-08T16:38:51.333+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,100,0,-1,-1,31.13.92.14,,101,,
36,facebook,2019-10-08T16:38:53.173+03:00,GET,https://cx.atdmt.com/?f=AYxK14-OtU3lBF2z3dBJ-Scz5k1u7TEiNVnjNsXsZZrBDCt_X80faDECNRXRywPMYDhjVDj86WByn9LDBpOLal59&c=306549111&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,1587,2,158,0,1551,35,31.13.92.2,,1785,value,
37,facebook,2019-10-08T16:38:57.238+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44046,,,0,5698,101,219,0,5658,0,31.13.92.36,,6020,value,
38,facebook,2019-10-08T16:38:57.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,-1,26,99,1,-1,-1,31.13.92.14,,127,value,
39,facebook,2019-10-08T16:38:57.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,2,99,0,-1,-1,31.13.92.14,,102,value,
40,facebook,2019-10-08T16:38:57.516+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,-1,75,121,0,-1,-1,31.13.92.14,,197,value,
41,facebook,2019-10-08T16:38:57.517+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,-1,63,87,0,-1,-1,31.13.92.14,,151,value,
42,facebook,2019-10-08T16:38:58.742+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1233,2,113,0,1206,1,172.217.18.4,,1351,,
43,facebook,2019-10-08T16:38:58.983+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,-1,20,136,0,-1,-1,31.13.92.14,,157,value,
44,facebook,2019-10-08T16:38:58.984+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,-1,0,121,0,-1,-1,31.13.92.14,,122,value,
45,facebook,2019-10-08T16:38:58.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,-1,30,123,1,-1,-1,31.13.92.14,,155,value,
46,facebook,2019-10-08T16:38:58.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,-1,152,131,1,-1,-1,31.13.92.14,,285,value,
47,facebook,2019-10-08T16:38:58.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,141,201,119,0,113,0,31.13.92.14,,463,value,
48,facebook,2019-10-08T16:38:58.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,0,157,201,146,0,129,0,31.13.92.14,,506,value,
49,facebook,2019-10-08T16:38:59.103+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,-1,23,131,0,-1,-1,31.13.92.14,,155,value,
50,facebook,2019-10-08T16:38:59.476+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2865,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,127,0,-1,-1,31.13.92.36,,128,,
51,facebook,2019-10-08T16:39:00.135+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,1214,153,107,0,1188,35,172.217.22.35,,1512,,
52,facebook,2019-10-08T16:39:00.441+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=k2njroov97jb,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9727,,,-1,-1,30,115,0,-1,-1,172.217.18.4,,146,value,
53,facebook,2019-10-08T16:39:00.597+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,64,90,1,-1,-1,172.217.22.35,,156,,
54,facebook,2019-10-08T16:39:00.751+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,156,158,96,0,114,0,172.217.22.35,,412,,
55,facebook,2019-10-08T16:39:01.045+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,-1,3,89,0,-1,-1,172.217.18.4,,94,,
56,facebook,2019-10-08T16:39:01.142+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=m7i4f34ftqg9,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,-1,1,97,0,-1,-1,172.217.18.4,,99,value,
57,facebook,2019-10-08T16:39:01.190+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,140,1,92,0,107,0,172.217.18.4,,234,value,
58,facebook,2019-10-08T16:39:01.305+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,172.217.22.35,,0,,No response received
59,facebook,2019-10-08T16:39:01.317+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=k7vh6y%3Aduk3se%3Auipwje&__hsi=6745430685751616085-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570542968,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,value,No response received
