,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-08T16:31:55.944+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,205,-1,-1,-1,0,31.13.92.36,,206,,
29,facebook,2019-10-08T16:31:55.948+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,201,-1,-1,-1,0,31.13.92.14,,202,value,
30,facebook,2019-10-08T16:31:56.118+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,0,183,-1,-1,-1,4,31.13.92.14,,188,value,
31,facebook,2019-10-08T16:31:56.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,0,168,-1,-1,-1,2,31.13.92.14,,171,value,
32,facebook,2019-10-08T16:31:56.226+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,296,-1,-1,-1,0,31.13.92.36,,297,,
33,facebook,2019-10-08T16:31:56.367+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,155,-1,-1,-1,0,31.13.92.14,,156,,
34,facebook,2019-10-08T16:31:58.054+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,0,116,-1,-1,-1,2,31.13.92.14,,120,value,
35,facebook,2019-10-08T16:31:58.132+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,146,3229,3356,0,0,31.13.92.36,,3504,,
36,facebook,2019-10-08T16:31:58.532+03:00,GET,https://cx.atdmt.com/?f=AYzTykcAZ9aWWkhycH860w_AJdtNuGTnnfogPQsGJ-mwlyeQo5HBDQLFlyxEA1ucTUBCgYUcz3Z_6JjaqrC2gck6&c=2030678152&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,33,0,133,1937,1965,0,0,31.13.92.2,,2134,value,
37,facebook,2019-10-08T16:31:59.009+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44043,,,0,0,213,2661,2755,0,116,31.13.92.36,,3086,value,
