,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-09-28T19:36:01.798+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,99,-1,0,-1,-1,43,-1,157.240.1.23,,143,value,
29,facebook,2019-09-28T19:36:01.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,96,-1,0,-1,-1,16,-1,157.240.1.23,,113,value,
30,facebook,2019-09-28T19:36:01.848+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,111,-1,0,-1,-1,1,-1,157.240.1.35,,113,,
31,facebook,2019-09-28T19:36:01.904+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,129,-1,0,-1,-1,9,-1,157.240.1.23,,139,value,
32,facebook,2019-09-28T19:36:01.906+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,132,-1,0,-1,-1,11,-1,157.240.1.23,,145,value,
33,facebook,2019-09-28T19:36:01.918+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,132,-1,0,-1,-1,5,-1,157.240.1.23,,138,value,
34,facebook,2019-09-28T19:36:01.949+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,101,-1,0,-1,-1,0,-1,157.240.1.23,,102,value,
35,facebook,2019-09-28T19:36:02.097+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,87,-1,0,-1,-1,0,-1,157.240.1.23,,89,,
36,facebook,2019-09-28T19:36:03.271+03:00,GET,https://cx.atdmt.com/?f=AYzLuvoB0P26u_OcxnecPdSZ134E2McTXOO9OiKCuT1oewQ_XVOQJo8aseGcd6NruzKaYHEbjB081nUeWbtpjcyh&c=1593953924&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,127,1103,0,24,0,0,1193,157.240.1.6,,1346,value,
37,facebook,2019-09-28T19:36:05.997+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43118,,,179,3947,0,0,0,199,4070,157.240.1.35,,4450,value,
