,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
34,facebook,2019-10-08T19:49:42.754+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,1,0,130,-1,-1,31.13.92.36,,131,,
35,facebook,2019-10-08T19:49:42.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,0,93,-1,-1,31.13.92.14,,94,,
36,facebook,2019-10-08T19:49:45.345+03:00,GET,https://cx.atdmt.com/?f=AYwASYa0chtkJVdGIfoc__5nvcsr_h-B_lk3dzcjnd7QacY9KTBJO1zR2vqkAPT-TQdP59dHx4kKW4WQ8cVqySzn&c=150800221&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,2238,0,0,127,2204,88,31.13.92.2,,2456,value,
37,facebook,2019-10-08T19:49:45.507+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43940,,,0,2493,120,0,217,2466,0,31.13.92.36,,2832,value,
38,facebook,2019-10-08T19:49:45.764+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,0,0,94,-1,-1,31.13.92.14,,95,value,
39,facebook,2019-10-08T19:49:45.765+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,-1,76,0,98,-1,-1,31.13.92.14,,176,value,
40,facebook,2019-10-08T19:49:45.765+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,-1,113,0,93,-1,-1,31.13.92.14,,207,value,
41,facebook,2019-10-08T19:49:45.798+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,-1,13,1,94,-1,-1,31.13.92.14,,109,value,
42,facebook,2019-10-08T19:49:48.112+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,2315,2,0,90,2288,31,172.217.18.4,,2441,,
43,facebook,2019-10-08T19:49:48.286+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,-1,19,0,90,-1,-1,31.13.92.14,,111,value,
