,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:22:46.335+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,103,-1,0,-1,5,-1,157.240.1.23,,109,value,
29,facebook,2019-10-11T13:22:46.335+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,-1,101,-1,0,-1,5,-1,157.240.1.23,,108,value,
30,facebook,2019-10-11T13:22:46.416+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,122,-1,0,-1,0,-1,31.13.92.36,,124,,
31,facebook,2019-10-11T13:22:46.502+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,95,-1,0,-1,0,-1,157.240.1.23,,96,,
32,facebook,2019-10-11T13:22:46.745+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,-1,121,-1,0,-1,70,-1,157.240.1.23,,192,value,
33,facebook,2019-10-11T13:22:46.801+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1349,105,0,0,1384,0,0,157.240.1.35,,1492,,
34,facebook,2019-10-11T13:22:47.357+03:00,GET,https://cx.atdmt.com/?f=AYzkzDKoAsMuh8DcH8vdeG_GIHznLDz3dLbeFmzJwTLQGGrw85TTyHA06-5qtzOBi6_guxKJOaMCyY9CB7pslv1J&c=1694151787&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,736,184,30,0,757,0,0,157.240.1.6,,973,value,
35,facebook,2019-10-11T13:22:47.898+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43634,,,1348,185,0,0,1369,108,0,157.240.1.35,,1665,value,
36,facebook,2019-10-11T13:22:48.122+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,106,-1,1,-1,58,-1,157.240.1.23,,166,value,
37,facebook,2019-10-11T13:22:48.122+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,100,-1,0,-1,9,-1,157.240.1.23,,110,value,
