,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
31,facebook,2019-10-11T13:21:47.110+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,1,-1,0,-1,89,-1,157.240.1.23,,91,,
32,facebook,2019-10-11T13:21:47.718+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,-1,26,-1,0,-1,97,-1,157.240.1.23,,124,value,
33,facebook,2019-10-11T13:21:47.772+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1719,1,0,0,0,106,1686,157.240.1.35,,1828,,
34,facebook,2019-10-11T13:21:48.310+03:00,GET,https://cx.atdmt.com/?f=AYx-FJfgPKRMoK-uTYF36xLOMACIHXviTYc99EYm9NUTLsWWhEHKgP9EtRxgGanPUMb0Y3ywzAFU1s660gWEIjLt&c=289485648&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,1108,0,0,0,27,349,1089,157.240.1.6,,1486,value,
35,facebook,2019-10-11T13:21:52.358+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43641,,,5156,122,0,0,33,208,5129,157.240.1.35,,5521,value,
36,facebook,2019-10-11T13:21:52.607+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,62,-1,1,-1,88,-1,157.240.1.23,,152,value,
37,facebook,2019-10-11T13:21:52.607+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,43,-1,2,-1,92,-1,157.240.1.23,,138,value,
38,facebook,2019-10-11T13:21:52.607+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,135,139,0,1,0,98,113,157.240.1.23,,374,value,
39,facebook,2019-10-11T13:21:52.609+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,1,-1,112,-1,157.240.1.23,,114,value,
40,facebook,2019-10-11T13:21:54.896+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2289,3,0,0,0,115,2262,216.58.205.228,,2409,,
41,facebook,2019-10-11T13:21:55.138+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,208,-1,0,-1,84,-1,157.240.1.23,,294,value,
