,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T18:58:01.750+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,0,111,-1,-1,-1,-1,6,31.13.92.14,,118,value,
29,facebook,2019-10-11T18:58:01.751+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,186,-1,-1,-1,-1,0,31.13.92.36,,187,,
30,facebook,2019-10-11T18:58:01.821+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,0,88,-1,-1,-1,-1,4,31.13.92.14,,93,value,
31,facebook,2019-10-11T18:58:01.942+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,180,-1,-1,-1,-1,2,31.13.92.36,,182,,
32,facebook,2019-10-11T18:58:01.991+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,90,-1,-1,-1,-1,0,31.13.92.14,,91,,
33,facebook,2019-10-11T18:58:04.400+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43441,,,0,303,0,2326,2359,0,125,31.13.92.36,,2789,value,
34,facebook,2019-10-11T18:58:04.721+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,1,89,-1,-1,-1,-1,57,31.13.92.14,,148,value,
35,facebook,2019-10-11T18:58:04.721+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,0,92,-1,-1,-1,-1,81,31.13.92.14,,175,value,
36,facebook,2019-10-11T18:58:04.722+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,0,94,-1,-1,-1,-1,51,31.13.92.14,,146,value,
37,facebook,2019-10-11T18:58:04.737+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,94,-1,-1,-1,-1,0,31.13.92.14,,95,value,
38,facebook,2019-10-11T18:58:04.787+03:00,GET,https://cx.atdmt.com/?f=AYxCtjK55nDZiFjy7FMQdgXYK-QBm-cgAS-AzgfVhwhWhHCPbca66T1EDZwZJw6Y2UW970motehz18oD6fFdbkvp&c=2101303643&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,117,32,2575,2593,0,0,31.13.92.2,,2745,value,
39,facebook,2019-10-11T18:58:06.073+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,116,0,1322,1351,0,3,172.217.18.4,,1473,,
40,facebook,2019-10-11T18:58:06.311+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,0,115,-1,-1,-1,-1,233,31.13.92.14,,349,value,
41,facebook,2019-10-11T18:58:06.311+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,0,99,-1,-1,-1,-1,14,31.13.92.14,,114,value,
42,facebook,2019-10-11T18:58:06.311+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,0,101,-1,-1,-1,-1,0,31.13.92.14,,103,value,
43,facebook,2019-10-11T18:58:06.311+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,0,103,-1,-1,-1,-1,15,31.13.92.14,,119,value,
