,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:29:03.809+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,27,-1,-1,-1,0,96,-1,157.240.1.23,,124,value,
29,facebook,2019-10-11T13:29:03.825+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,0,97,-1,157.240.1.35,,99,,
30,facebook,2019-10-11T13:29:03.850+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,5,-1,-1,-1,0,90,-1,157.240.1.23,,96,value,
31,facebook,2019-10-11T13:29:03.901+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,11,-1,-1,-1,0,84,-1,157.240.1.23,,96,value,
32,facebook,2019-10-11T13:29:03.928+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,0,97,-1,157.240.1.35,,99,,
33,facebook,2019-10-11T13:29:04.060+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,-1,0,94,-1,157.240.1.23,,95,,
34,facebook,2019-10-11T13:29:06.879+03:00,GET,https://cx.atdmt.com/?f=AYypxd-w8ezmJvkS9pAbh_2gpLYPlRKWA6Mylt7BRPkuWdtigFsUZq3dfxugyzGTZzxcw-nJySCdikm0TkkihNn_&c=980049606&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,2712,36,0,200,2686,157.240.1.6,,2950,value,
35,facebook,2019-10-11T13:29:08.180+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43644,,,110,0,4051,0,0,213,4025,157.240.1.35,,4376,value,
36,facebook,2019-10-11T13:29:08.433+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,1,-1,-1,-1,1,104,-1,157.240.1.23,,106,value,
37,facebook,2019-10-11T13:29:08.435+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,37,-1,-1,-1,1,92,-1,157.240.1.23,,130,value,
38,facebook,2019-10-11T13:29:08.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,86,-1,-1,-1,0,103,-1,157.240.1.23,,190,value,
39,facebook,2019-10-11T13:29:08.437+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,33,-1,-1,-1,0,84,-1,157.240.1.23,,119,value,
40,facebook,2019-10-11T13:29:10.143+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2,0,1708,0,0,106,1679,216.58.205.228,,1819,,
41,facebook,2019-10-11T13:29:10.367+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,212,-1,-1,-1,0,110,-1,157.240.1.23,,323,value,
42,facebook,2019-10-11T13:29:10.367+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,39,-1,-1,-1,0,99,-1,157.240.1.23,,138,value,
43,facebook,2019-10-11T13:29:10.367+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,2,-1,-1,-1,0,95,-1,157.240.1.23,,99,value,
44,facebook,2019-10-11T13:29:10.368+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,121,-1,-1,-1,0,101,-1,157.240.1.23,,222,value,
45,facebook,2019-10-11T13:29:12.132+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3077,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,-1,0,125,-1,157.240.1.35,,126,,
46,facebook,2019-10-11T13:29:14.275+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,131,0,3988,1,0,104,3960,172.217.22.35,,4226,,
47,facebook,2019-10-11T13:29:14.536+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=68yrxqq5j8g5,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9548,,,15,-1,-1,-1,0,131,-1,216.58.205.228,,147,value,
48,facebook,2019-10-11T13:29:14.703+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,56,-1,-1,-1,0,86,-1,172.217.22.35,,144,,
49,facebook,2019-10-11T13:29:14.850+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,159,0,144,0,0,92,118,172.217.22.35,,397,,
50,facebook,2019-10-11T13:29:15.131+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,2,-1,-1,-1,0,87,-1,216.58.205.228,,90,,
51,facebook,2019-10-11T13:29:15.226+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,-1,-1,0,90,-1,216.58.205.228,,91,value,
52,facebook,2019-10-11T13:29:15.272+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=lh4gsoxgebfn,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,2,0,138,0,0,94,109,216.58.205.228,,235,value,
53,facebook,2019-10-11T13:29:15.342+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,45,-1,-1,-1,0,88,-1,172.217.22.35,,134,,
54,facebook,2019-10-11T13:29:15.489+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=7xnsmk%3Acucz93%3Aoghxra&__hsi=6746495035046344398-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570790781,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,157.240.1.35,,0,value,No response received
