,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
10,,2019-10-08T18:19:28.540+03:00,GET,https://www.taringa.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,HTTP/1.1,804,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,655,,,-1,95,-1,0,0,-1,-1,104.16.249.39,,96,,
11,,2019-10-08T18:19:28.543+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-NK2W8LC,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,25826,,,-1,105,-1,0,50,-1,-1,216.58.207.72,,157,value,
12,,2019-10-08T18:19:28.555+03:00,GET,https://securepubads.g.doubleclick.net/tag/js/gpt.js?v=1570465332895,HTTP/1.1,476,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=UTF-8,,https://securepubads.g.doubleclick.net/tag/js/gpt.js,482,249,,,270,99,0,0,0,0,294,172.217.22.98,,395,value,
13,,2019-10-08T18:19:28.603+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjst5pGhbmVAmCYmmuUDMYXoSeg5ZO-KEsG1oFpsM90IB4RLqVEepX_a6GmFVAV_3xZZTQ3DQx1UiH3UdWQxFz1qfdNkkuRhAhqawd7FGTNU&sig=Cg0ArKJSzAh_k6GEAcuhEAE&adk=2492480678&tt=2135&bs=779%2C600&mtos=13671,13671,13671,13671,13671&tos=13671,0,0,0,0&p=510,26,600,754&mcvt=13671&rs=3&ht=0&tfs=289&tls=13960&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=16&niot_cbk=152&md=2&lm=2&rst=1570547953544&rpt=795&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C15345&ss=800%2C600&pt=11826&bin=1&deb=1-1-1-74-120-27-139-119-0-0-0&tvt=13944&r=u&id=osdtos&vs=4&za=0-1-0&uc=120&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=0x0&itpl=19&v=20191004",HTTP/1.1,994,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,115,-1,0,0,-1,-1,172.217.23.98,,116,value,
14,,2019-10-08T18:19:28.666+03:00,GET,https://securepubads.g.doubleclick.net/tag/js/gpt.js,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,14485,,,-1,127,-1,0,31,-1,-1,172.217.22.98,,159,,
15,,2019-10-08T18:19:28.723+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsvg-jirpkvpZphHSx82Pv8zClCyrmpkuMo2F214NvLjdMrQyJdT36yAlOsaayy_7rCaJID1JR-lGa0n3D2Xj68QnWo6VjAMf4jBQHMWz7JvmaJRqBU&sai=AMfl-YR1-6R4SyFxarsY9UKa-ChInLJ_sv0MPBxbshym8W7RejFq_ZWieHWjqUPXPkWmqLzaWoouULNkM0_zkJZWW9jxahMvto_GXhU&sig=Cg0ArKJSzH0MurnM3pv9EAE&cid=CAASEuRotFNW81rHUEYIh5xe2MzoIg&adk=353852414&tt=8148&bs=779%2C600&mtos=12979,12979,12979,12979,12979&tos=12979,0,0,0,0&p=0,0,90,728&mcvt=12979&rs=1&ht=0&tfs=111&tls=13090&mc=1&lte=0&bas=0&bac=0&met=no&avms=nio&niot_obs=8&niot_cbk=12&md=2&lm=2&rst=1570547954890&dlt=211&rpt=167&isd=0&oseid=3&xdi=0&ps=779%2C15345&ss=800%2C600&pt=4942&bin=1&deb=1-1-1-73-113-11-115-112-0-0-0&tvt=13081&is=728%2C90&iframe_loc=https%3A%2F%2Fwww.taringa.net%2F&r=u&id=osdtos&vs=4&za=0-1-0&uc=110&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=728x90&itpl=4&v=20191004",HTTP/1.1,2052,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,110,-1,0,0,-1,-1,172.217.23.98,,111,value,
16,,2019-10-08T18:19:28.899+03:00,GET,https://connect.facebook.net/es_LA/sdk.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1780,,,300,86,29,0,0,0,322,31.13.92.14,,439,,
17,,2019-10-08T18:19:29.279+03:00,GET,https://www.taringa.net/apiv7/country/channels/popular?count=20&sort=created-desc,HTTP/1.1,875,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,689,655,,,-1,532,-1,0,0,-1,-1,104.16.249.39,,533,value,
18,,2019-10-08T18:19:29.291+03:00,GET,https://www.taringa.net/message.ogg,HTTP/1.1,772,0,,206,Partial Content,HTTP/1.1,0,audio/ogg,,,824,6638,,,-1,5566,-1,0,0,-1,-1,104.16.249.39,,5566,,
19,,2019-10-08T18:19:29.319+03:00,GET,https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019100301.js,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,58949,,,-1,126,-1,0,89,-1,-1,172.217.22.98,,215,,
20,,2019-10-08T18:19:29.329+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,86,-1,0,20,-1,-1,172.217.22.110,,107,,
21,,2019-10-08T18:19:29.462+03:00,GET,https://api.retargetly.com/loader?id=146,HTTP/1.1,948,0,,200,OK,HTTP/1.1,0,application/javascript,,,632,2398,,,183,227,0,0,0,0,213,104.20.139.67,,442,value,
22,,2019-10-08T18:19:29.526+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1952899215&t=pageview&_s=1&dl=https%3A%2F%2Fwww.taringa.net%2F&ul=en-us&de=UTF-8&dt=Taringa!%20-%20Inteligencia%20Colectiva%20en%20Taringa!&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=QACAAEAB~&jid=919444985&gjid=1988455527&cid=375308903.1570547828&tid=UA-91290-1&_gid=477658396.1570547828&_r=1&gtm=2wg9p0NK2W8LC&cd1=%22v7%22&z=393578333,HTTP/1.1,741,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_gid=477658396.1570547828&gjid=1988455527&_v=j79&z=393578333,640,413,,,-1,93,-1,0,0,-1,-1,172.217.22.110,,94,value,
23,,2019-10-08T18:19:29.564+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.taringa.net,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,223,95,0,0,0,0,246,172.217.21.226,,343,value,
24,,2019-10-08T18:19:29.601+03:00,GET,https://connect.facebook.net/es_LA/sdk.js?hash=abf627f8f1811af34791fa66809e9275&ua=modern_es6,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,59066,,,204,118,0,0,102,0,236,31.13.92.14,,458,value,
25,,2019-10-08T18:19:29.711+03:00,GET,https://api.retargetly.com/api?id=146&src=4&url=https%3A%2F%2Fwww.taringa.net%2F&ref=&utmz=&n=Taringa!%20-%20Inteligencia%20Colectiva%20en%20Taringa!&md=Taringa!%20es%20una%20plataforma%20que%20le%20da%20a%20las%20personas%20el%20poder%20de%20compartir%2C%20descubrir%20y%20buscar%20buenas%20ideas.%20Comparte%20tus%20pasiones%20en%20Taringa!&mk=&il=0&limit_drop=,HTTP/1.1,1424,0,,200,OK,HTTP/1.1,0,text/html,,,1281,490,,,-1,210,-1,0,0,-1,-1,104.20.139.67,,211,value,
26,,2019-10-08T18:19:29.777+03:00,GET,https://certify-js.alexametrics.com/atrk.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,text/javascript,,,494,1633,,,358,102,28,0,0,0,387,13.224.132.41,,519,,
27,,2019-10-08T18:19:30.001+03:00,POST,https://ib.adnxs.com/ut/v3/prebid,HTTP/1.1,517,1701,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1067,5142,,,273,179,0,0,0,0,299,185.33.223.206,,480,,
28,,2019-10-08T18:19:30.024+03:00,GET,https://tc.dataxpand.com/tc/5d5d7bb.js,HTTP/1.1,354,0,,200,OK,HTTP/1.1,0,text/javascript,,,521,4449,,,286,101,133,0,1,0,314,99.84.8.48,,551,,
29,,2019-10-08T18:19:30.035+03:00,POST,https://a.teads.tv/hb/bid-request,HTTP/1.1,483,620,,200,OK,HTTP/1.1,0,application/json,,,379,42,,,302,272,28,0,0,0,331,212.55.188.10,,633,,
30,,2019-10-08T18:19:30.100+03:00,GET,https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=14414&site_id=192324&zone_id=1225680&size_id=2&alt_size_ids=55&p_pos=unknown&rf=https%3A%2F%2Fwww.taringa.net%2F&tk_flint=pbjs_lite_v2.24.0&x_source.tid=2bc94747-09fb-4ff6-b164-8b69a77e25b7&p_screen_res=800x600&rp_floor=0.01&rp_secure=1&slots=1&rand=0.06319150762000958,HTTP/1.1,1269,0,,200,OK,HTTP/1.1,0,application/json,,,429,283,,,396,116,0,0,0,0,415,69.173.144.142,,532,value,
31,,2019-10-08T18:19:30.162+03:00,POST,https://prg.smartadserver.com/prebid/v1,HTTP/1.1,882,318,,200,OK,HTTP/1.1,0,application/json,,,1252,0,,,357,180,0,0,0,0,380,185.86.137.43,,561,,
32,,2019-10-08T18:19:30.173+03:00,GET,https://adserver-us.adtech.advertising.com/pubapi/3.0/10950/5037370/0/0/ADTECH;v=2;cmd=bid;cors=yes;alias=21994437d96e6d;misc=1570547969682;,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,application/json,,,365,48,,,446,161,0,0,0,0,483,152.199.22.24,,645,,
33,,2019-10-08T18:19:30.194+03:00,POST,https://prg.smartadserver.com/prebid/v1,HTTP/1.1,882,317,,200,OK,HTTP/1.1,0,application/json,,,1252,0,,,350,183,0,0,0,0,374,185.86.137.43,,558,,
34,,2019-10-08T18:19:30.206+03:00,GET,https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=14414&site_id=192324&zone_id=1225684&size_id=15&alt_size_ids=16&p_pos=unknown&rf=https%3A%2F%2Fwww.taringa.net%2F&tk_flint=pbjs_lite_v2.24.0&x_source.tid=b0cb64f7-6f5f-4a4b-9d01-7b722a78323f&p_screen_res=800x600&rp_floor=0.01&rp_secure=1&slots=1&rand=0.6822347116192842,HTTP/1.1,1269,0,,200,OK,HTTP/1.1,0,application/json,,,429,304,,,479,115,0,0,0,0,519,69.173.144.142,,636,value,
35,,2019-10-08T18:19:30.209+03:00,POST,https://prg.smartadserver.com/prebid/v1,HTTP/1.1,882,321,,200,OK,HTTP/1.1,0,application/json,,,1254,0,,,346,320,0,0,0,0,370,185.86.137.43,,692,,
36,,2019-10-08T18:19:30.221+03:00,GET,https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=14414&site_id=192324&zone_id=1225684&size_id=15&alt_size_ids=16&p_pos=unknown&rf=https%3A%2F%2Fwww.taringa.net%2F&tk_flint=pbjs_lite_v2.24.0&x_source.tid=46d3a895-4af9-4a0c-93ce-8158e5b27e1e&p_screen_res=800x600&rp_floor=0.01&rp_secure=1&slots=1&rand=0.8567784150149997,HTTP/1.1,1269,0,,200,OK,HTTP/1.1,0,application/json,,,429,304,,,-1,115,-1,0,0,-1,-1,69.173.144.142,,116,value,
37,,2019-10-08T18:19:30.246+03:00,GET,https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=14414&site_id=192324&zone_id=1225688&size_id=2&alt_size_ids=55&p_pos=unknown&rf=https%3A%2F%2Fwww.taringa.net%2F&tk_flint=pbjs_lite_v2.24.0&x_source.tid=3dafc438-0c7c-4ef9-8ec4-7ea925b964ad&p_screen_res=800x600&rp_floor=0.01&rp_secure=1&slots=1&rand=0.19444715417579816,HTTP/1.1,1269,0,,200,OK,HTTP/1.1,0,application/json,,,429,283,,,449,112,0,0,0,0,482,69.173.144.142,,595,value,
38,,2019-10-08T18:19:30.246+03:00,GET,https://k62.kn3.net/taringa/F/8/E/B/4/B/DON_ANDR3X/550x719_6DA.jpg,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,642,75329,,,340,98,84,0,134,0,371,104.17.148.77,,689,,
39,,2019-10-08T18:19:30.290+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_gid=477658396.1570547828&gjid=1988455527&_v=j79&z=393578333,HTTP/1.1,620,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_v=j79&z=393578333,669,361,,,493,91,0,0,0,0,527,66.102.1.154,,619,value,
40,,2019-10-08T18:19:30.361+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.taringa.net,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,559,92,0,0,0,0,606,172.217.23.98,,700,value,
41,,2019-10-08T18:19:30.363+03:00,POST,https://prg.smartadserver.com/prebid/v1,HTTP/1.1,882,318,,200,OK,HTTP/1.1,0,application/json,,,1254,0,,,664,268,0,0,0,0,690,185.86.137.43,,960,,
42,,2019-10-08T18:19:30.376+03:00,GET,https://tags.crwdcntrl.net/c/6746/cc.js?ns=_cc6746,HTTP/1.1,696,0,,200,OK,HTTP/1.1,0,application/javascript,,,348,11433,,,635,94,0,0,6,0,662,93.184.220.113,,764,value,
43,,2019-10-08T18:19:30.385+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_v=j79&z=393578333,HTTP/1.1,484,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_v=j79&z=393578333&slf_rd=1&random=1686146981,737,0,,,-1,114,-1,0,0,-1,-1,172.217.18.4,,115,value,
44,,2019-10-08T18:19:29.613+03:00,CONNECT,https://e.dlx.addthis.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,-1,0,51,0,0,0,744,52.27.255.181,,795,,Unable to connect to host
45,,2019-10-08T18:19:30.483+03:00,GET,https://tags.crwdcntrl.net/c/6746/cc_af.js,HTTP/1.1,688,0,,200,OK,HTTP/1.1,0,application/javascript,,,348,11436,,,-1,89,-1,0,7,-1,-1,93.184.220.113,,96,,
46,,2019-10-08T18:19:30.496+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1122,11785,,,177,91,34,0,6,0,225,31.13.92.14,,358,value,
47,,2019-10-08T18:19:30.499+03:00,GET,https://www.facebook.com/tr/?id=143125965710465&ev=fb_page_view&dl=https%3A%2F%2Fwww.taringa.net%2F&rl=&if=false&ts=1570547970216&sw=800&sh=600,HTTP/1.1,547,0,,200,OK,HTTP/1.1,0,image/gif,,,367,44,,,180,91,42,0,0,0,219,31.13.92.36,,354,value,
48,,2019-10-08T18:19:30.605+03:00,GET,https://di.rlcdn.com/475939.gif?pdata=139352%3D1%2C139354%3D1%2C139355%3D1%2C139353%3D1%2C47600%3D1%2C47601%3D1%2C51127%3D1%2C47856%3D1%2C47895%3D1%2C84067%3D1%2C84068%3D1%2C142563%3D1%2C47871%3D1%2C98376%3D1%2C142578%3D1%2C52634%3D1%2C52603%3D1%2C47465%3D1%2C47469%3D1%2C47472%3D1%2C47473%3D1%2C82257%3D1%2C93220%3D1%2C93222%3D1%2C93223%3D1%2C93221%3D1%2C47504%3D1%2C47536%3D1%2C47538%3D1%2C47539%3D1%2C47559%3D1%2C47560%3D1%2C47571%3D1%2C47575%3D1%2C47576%3D1%2C47573%3D1%2C47584%3D1%2C142628%3D1%2C142637%3D1%2C142636%3D1%2C142638%3D1%2C143090%3D1%2C143092%3D1%2C143091%3D1%2C143085%3D1%2C143050%3D1%2C143051%3D1%2C47910%3D1%2C63277%3D1%2C82930%3D1%2C82233%3D1%2C63281%3D1%2C63282%3D1%2C47677%3D1%2C47687%3D1%2C144745%3D1%2C47684%3D1%2C103579%3D1%2C103583%3D1%2C103588%3D1%2C103589%3D1%2C63284%3D1%2C103603%3D1%2C47917%3D1%2C103605%3D1%2C103606%3D1%2C47918%3D1%2C103626%3D1%2C103628%3D1%2C103630%3D1%2C103632%3D1%2C143069%3D1%2C143070%3D1%2C143073%3D1%2C143076%3D1%2C139360%3D1%2C139331%3D1%2C47835%3D1,HTTP/1.1,1464,0,,200,OK,HTTP/1.1,0,image/gif,,,574,42,,,325,189,0,0,0,0,350,35.190.72.21,,541,value,
49,,2019-10-08T18:19:30.649+03:00,GET,https://trc.taboola.com/sg/retargetly/1/cm,HTTP/1.1,797,0,,302,Found,HTTP/1.1,0,,,https://app.retargetly.com/sync?pid=39&sid=7c5c43bb-cca1-44e5-a0f8-3d1cccf9fe75-tuct496322b,538,0,,,239,88,34,0,0,0,267,151.101.18.2,,390,,
50,,2019-10-08T18:19:30.661+03:00,GET,https://secure.adnxs.com/getuid?https://app.retargetly.com/sync?sid=$UID&pid=2,HTTP/1.1,858,0,,200,OK,HTTP/1.1,0,image/gif,,,795,43,,,281,100,0,0,0,0,314,185.33.223.80,,416,value,
51,,2019-10-08T18:19:30.672+03:00,GET,https://di.rlcdn.com/474669.gif?pdata=139352%3D1%2C139354%3D1%2C139355%3D1%2C139353%3D1%2C47600%3D1%2C47601%3D1%2C51127%3D1%2C47856%3D1%2C47895%3D1%2C84067%3D1%2C84068%3D1%2C142563%3D1%2C47871%3D1%2C98376%3D1%2C142578%3D1%2C52634%3D1%2C52603%3D1%2C47465%3D1%2C47469%3D1%2C47472%3D1%2C47473%3D1%2C82257%3D1%2C93220%3D1%2C93222%3D1%2C93223%3D1%2C93221%3D1%2C47504%3D1%2C47536%3D1%2C47538%3D1%2C47539%3D1%2C47559%3D1%2C47560%3D1%2C47571%3D1%2C47575%3D1%2C47576%3D1%2C47573%3D1%2C47584%3D1%2C142628%3D1%2C142637%3D1%2C142636%3D1%2C142638%3D1%2C143090%3D1%2C143092%3D1%2C143091%3D1%2C143085%3D1%2C143050%3D1%2C143051%3D1%2C47910%3D1%2C63277%3D1%2C82930%3D1%2C82233%3D1%2C63281%3D1%2C63282%3D1%2C47677%3D1%2C47687%3D1%2C144745%3D1%2C47684%3D1%2C103579%3D1%2C103583%3D1%2C103588%3D1%2C103589%3D1%2C63284%3D1%2C103603%3D1%2C47917%3D1%2C103605%3D1%2C103606%3D1%2C47918%3D1%2C103626%3D1%2C103628%3D1%2C103630%3D1%2C103632%3D1%2C143069%3D1%2C143070%3D1%2C143073%3D1%2C143076%3D1%2C139360%3D1%2C139331%3D1%2C47835%3D1,HTTP/1.1,1464,0,,200,OK,HTTP/1.1,0,image/gif,,,574,42,,,335,194,0,0,0,0,360,35.190.72.21,,556,value,
52,,2019-10-08T18:19:30.730+03:00,GET,https://pixel.tapad.com/idsync/ex/receive?partner_id=3012&partner_device_id=9d5dc4bf-cecc-4fd6-b483-7e42dddcc2a7&_rand=1570549012583,HTTP/1.1,903,0,,200,OK,HTTP/1.1,0,image/png,,,566,95,,,296,85,0,0,0,0,333,35.227.248.159,,420,value,
53,,2019-10-08T18:19:30.739+03:00,GET,https://ps.eyeota.net/pixel?pid=r8j3b20&t=gif&uid=9d5dc4bf-cecc-4fd6-b483-7e42dddcc2a7,HTTP/1.1,852,0,,302,Found,HTTP/1.1,0,,,https://eyeota-sync.dotomi.com/match/bounce/current?networkId=41703&version=1&nuid=2b689-GUsX_RaMKD-93ePe1o2VgkDbB1bwyRS-c5ryGY&rurl=https%3A%2F%2Fps.eyeota.net%2Fmatch%3Fbid%3Dr8d1b20%26dc_rc%3D1%26dc_mr%3D5%26dc_orig%3Dr8j3b20%26%26uid%3D,374,0,,,352,98,0,0,0,0,380,3.120.224.89,,479,value,
54,,2019-10-08T18:19:30.740+03:00,GET,https://certify.alexametrics.com/atrk.gif?frame_height=600&frame_width=800&iframe=0&title=Taringa!%20-%20Inteligencia%20Colectiva%20en%20Taringa!&time=1570547970233&time_zone_offset=-180&screen_params=800x600x24&java_enabled=0&cookie_enabled=1&ref_url=&host_url=https%3A%2F%2Fwww.taringa.net%2F&random_number=9426501486&sess_cookie=f17d1b8716dabf20d9359d54c12&sess_cookie_flag=0&user_cookie=f17d1b8716dabf20d9359d54c12&user_cookie_flag=0&dynamic=true&domain=taringa.net&account=etmZn1QolK10Ug&jsv=20130128&user_lang=en-US,HTTP/1.1,873,0,,200,OK,HTTP/1.1,0,image/gif,,,510,43,,,386,92,69,0,0,0,418,13.224.132.13,,580,value,
55,,2019-10-08T18:19:30.743+03:00,GET,"https://tag.crsspxl.com/s1.js?d=2134&cb=1570547970238&dx=139352,139354,139355,139353,47600,47601,51127,47856,47895,84067,84068,142563,47871,98376,142578,52634,52603,47465,47469,47472,47473,82257,93220,93222,93223,93221,47504,47536,47538,47539,47559,47560,47571,47575,47576,47573,47584,142628,142637,142636,142638,143090,143092,143091,143085,143050,143051,47910,63277,82930,82233,63281,63282,47677,47687,144745,47684,103579,103583,103588,103589,63284,103603,47917,103605,103606,47918,103626,103628,103630,103632,143069,143070,143073,143076,139360,139331,47835",HTTP/1.1,1266,0,,200,,HTTP/1.1,0,text/javascript,,,791,949,,,424,165,0,0,0,0,452,23.21.124.241,,618,value,
56,,2019-10-08T18:19:30.925+03:00,GET,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-91290-1&cid=375308903.1570547828&jid=919444985&_v=j79&z=393578333&slf_rd=1&random=1686146981,HTTP/1.1,513,0,,200,OK,HTTP/1.1,0,image/gif,,,547,42,,,290,121,0,0,0,0,330,216.58.206.3,,453,value,
