,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
10,,2019-10-09T17:06:10.682+03:00,GET,https://code.jquery.com/jquery-1.4.4.min.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,484,27078,,,0,46,2966,2945,43,0,85,209.197.3.24,,3143,,
11,,2019-10-09T17:06:10.860+03:00,GET,https://www.pointerpointer.com/js/Grid.js,HTTP/1.1,577,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,445,,,-1,0,-1,-1,-1,1,105,188.166.32.155,,107,,
12,,2019-10-09T17:06:10.861+03:00,GET,https://www.pointerpointer.com/js/rhill-voronoi-core.js,HTTP/1.1,591,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,9539,,,-1,0,-1,-1,-1,2,112,188.166.32.155,,115,,
13,,2019-10-09T17:06:10.861+03:00,GET,https://www.pointerpointer.com/js/VoronoiGrid.js,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,769,,,0,0,298,266,0,3,109,188.166.32.155,,412,,
14,,2019-10-09T17:06:10.935+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,0,59,3219,3198,30,0,94,93.184.220.66,,3403,,
15,,2019-10-09T17:06:10.972+03:00,GET,https://www.pointerpointer.com/js/colors.js,HTTP/1.1,579,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,2489,,,-1,4,-1,-1,-1,1,99,188.166.32.155,,105,,
16,,2019-10-09T17:06:10.979+03:00,GET,https://www.pointerpointer.com/js/Point.js,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1423,,,-1,5,-1,-1,-1,0,93,188.166.32.155,,98,,
17,,2019-10-09T17:06:10.982+03:00,GET,https://www.pointerpointer.com/js/Flasher.js,HTTP/1.1,580,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1611,,,-1,0,-1,-1,-1,0,95,188.166.32.155,,96,,
18,,2019-10-09T17:06:11.085+03:00,GET,https://www.pointerpointer.com/js/Animator.js,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1505,,,-1,0,-1,-1,-1,0,91,188.166.32.155,,92,,
19,,2019-10-09T17:06:11.128+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Fwww.pointerpointer.com,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,2,-1,-1,-1,0,82,93.184.220.66,,86,value,
20,,2019-10-09T17:06:12.140+03:00,GET,https://www.facebook.com/x/oauth/status?client_id=1377546152487252&input_token&origin=1&redirect_uri=https%3A%2F%2Fwww.pointerpointer.com%2F&sdk=joey&wants_cookie_data=false,HTTP/1.1,533,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,603,0,,,0,0,1299,1274,0,0,138,157.240.1.35,,1439,value,
21,,2019-10-09T17:06:13.926+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,539,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,515,11744,,,0,7,3081,3052,34,0,103,157.240.1.23,,3227,value,
22,,2019-10-09T17:06:14.068+03:00,GET,https://www.pointerpointer.com/gridPositions.json,HTTP/1.1,659,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,188.166.32.155,,0,,No response received
