,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
25,,2019-10-12T08:21:11.406+03:00,GET,https://i.ytimg.com/generate_204,HTTP/1.1,348,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,0,0,1415,87,1451,0,0,172.217.16.182,,1540,
26,,2019-10-12T08:21:11.432+03:00,GET,https://i.ytimg.com/vi/IdaZqw9gfOQ/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLB6g3D8eDjza4X-C2mwel2One8nLA,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,451,5868,,,0,0,1346,94,1372,0,3,172.217.16.182,,1470,value
27,,2019-10-12T08:21:11.445+03:00,GET,https://i.ytimg.com/vi/1dBsJl6gqS4/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLAH4soO-2JG4DPVbAD0RNHX4brXAg,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,6650,,,35,1,4454,114,4480,0,10,172.217.16.182,,4642,value
28,,2019-10-12T08:21:11.447+03:00,GET,https://i.ytimg.com/vi/SlPhMPnQ58k/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLC3-te3pZj3Hy1TFd_TOn2QsCiq0g,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,3962,,,0,1,1334,109,1375,0,1,172.217.16.182,,1487,value
29,,2019-10-12T08:21:11.448+03:00,GET,https://i.ytimg.com/vi/Geyg_F5pfHE/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLBpLouShMeE3vf_lKuSiw97p5gRtg,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,7070,,,0,0,1536,108,1555,0,5,172.217.16.182,,1671,value
30,,2019-10-12T08:21:11.462+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:400,300,300italic,400italic,500,500italic,700,700italic",HTTP/1.1,433,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,881,,,-1,0,-1,110,-1,-1,0,172.217.23.138,,111,value
31,,2019-10-12T08:21:11.499+03:00,GET,https://i.ytimg.com/vi/GppsNjnAWHw/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLAWgimLL_erp3qK2yR6iN_X7idNIw,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,454,9338,,,-1,0,-1,82,-1,-1,4,172.217.16.182,,88,value
32,,2019-10-12T08:21:11.534+03:00,GET,https://i.ytimg.com/vi/9NZvM1918_E/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLC3GLu6EeIL-TY0tE6XDoTjx7QnNg,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,452,5732,,,-1,0,-1,86,-1,-1,2,172.217.16.182,,90,value
33,,2019-10-12T08:21:11.565+03:00,GET,https://i.ytimg.com/vi/QJgtIAuybrs/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLB4ClxAZONo9GeCUC1n9BQ--rLfEA,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,454,6900,,,-1,0,-1,88,-1,-1,3,172.217.16.182,,91,value
34,,2019-10-12T08:21:11.568+03:00,GET,https://i.ytimg.com/vi/mUYA9ioejEc/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLDnI78XBe9OONHxn-yn7ViUg-wYkQ,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,12646,,,-1,0,-1,85,-1,-1,15,172.217.16.182,,101,value
35,,2019-10-12T08:21:11.576+03:00,GET,https://i.ytimg.com/vi/oAlCxxixthg/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLAROyRZxSepGbVO7jMyFlEbCiouzA,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,455,10298,,,-1,0,-1,86,-1,-1,9,172.217.16.182,,96,value
36,,2019-10-12T08:21:11.577+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto+Mono:400,700",HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,552,,,-1,0,-1,93,-1,-1,0,172.217.23.138,,94,value
37,,2019-10-12T08:21:11.577+03:00,GET,https://i.ytimg.com/vi/SHsHGOJqemc/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLBIgeQKKDncin11Awn7aWiZopGnew,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,452,11110,,,0,0,121,84,154,0,27,172.217.16.182,,267,value
38,,2019-10-12T08:21:11.590+03:00,GET,https://i.ytimg.com/vi/FE3MBG-NpB0/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLD6nP6591TCdf8jo9OYNwdyTRuUwQ,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,451,9320,,,-1,0,-1,95,-1,-1,10,172.217.16.182,,106,value
39,,2019-10-12T08:21:11.627+03:00,GET,https://i.ytimg.com/vi/SYrpPIddOSo/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLBhK3tiq6VkaF3k4pqbM7p1FjgY4g,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,13614,,,-1,0,-1,86,-1,-1,37,172.217.16.182,,123,value
40,,2019-10-12T08:21:11.662+03:00,GET,https://i.ytimg.com/vi/LQdP8Pu8N9U/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLDXjH7FrHs7BIKI92KF24fb3dd9kQ,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,452,5730,,,-1,0,-1,89,-1,-1,2,172.217.16.182,,92,value
41,,2019-10-12T08:21:11.676+03:00,GET,https://i.ytimg.com/vi/GqLSwOzdkNY/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLDkt5RH4CvSfTJZLmJWWS-46giFXA,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,6896,,,-1,0,-1,84,-1,-1,6,172.217.16.182,,91,value
42,,2019-10-12T08:21:11.676+03:00,GET,https://i.ytimg.com/vi/uWlR_WzYtBI/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLB6GSxr_xQBM4nd8euTtby8XJpJ7A,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,455,10146,,,-1,1,-1,81,-1,-1,10,172.217.16.182,,93,value
43,,2019-10-12T08:21:11.693+03:00,GET,https://i.ytimg.com/vi/pG-uXuk90c4/hqdefault.jpg?sqp=-oaymwEYCNIBEHZIVfKriqkDCwgBFQAAiEIYAXAB&rs=AOn4CLCHy9cdo0jzXKjEaUaHz46HBr6XUw,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,image/webp,,,453,7244,,,-1,0,-1,86,-1,-1,5,172.217.16.182,,92,value
44,,2019-10-12T08:21:12.475+03:00,GET,https://yt3.ggpht.com/a/AGF-l78S1Hz_1e7Dg5K0immPawrNWWxcACE5Enr3eA=s88-c-k-c0x00ffffff-no-rj,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/jpeg,,,585,3080,,,-1,0,-1,88,-1,-1,1,216.58.210.1,,90,
45,,2019-10-12T08:21:12.535+03:00,GET,https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15872,,,-1,0,-1,97,-1,-1,20,172.217.22.3,,118,
46,,2019-10-12T08:21:12.656+03:00,GET,https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmWUlfBBc4.woff2,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15816,,,-1,0,-1,84,-1,-1,28,172.217.22.3,,113,
47,,2019-10-12T08:21:12.740+03:00,GET,https://yt3.ggpht.com/a/AGF-l785e8E-NfxP0RwmIeCZJCTThPD-y6VyA6-Xbw=s88-c-k-c0x00ffffff-no-rj,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/jpeg,,,587,3222,,,-1,0,-1,81,-1,-1,1,216.58.210.1,,82,
48,,2019-10-12T08:21:12.766+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/base.js,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393512,,,-1,0,-1,98,-1,-1,203,216.58.207.78,,302,
49,,2019-10-12T08:21:12.768+03:00,GET,https://www.youtube.com/yts/cssbin/player-vflNrEXVj/www-player-webp.css,HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css,,,561,41451,,,-1,0,-1,129,-1,-1,44,216.58.207.78,,174,
50,,2019-10-12T08:21:12.967+03:00,GET,https://www.youtube.com/sw.js,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,504,2708,,,-1,0,-1,130,-1,-1,0,216.58.207.78,,132,
51,,2019-10-12T08:21:13.314+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/remote.js,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29991,,,-1,0,-1,90,-1,-1,13,216.58.207.78,,104,
52,,2019-10-12T08:21:14.058+03:00,GET,"https://www.youtube.com/csi_204?v=2&s=youtube&action=home&yt_sts=n&yt_lt=cold&tcrc=583&tcrt=392.728515625&pc=1&is_nav=1&csn=2GahXa2sPI2F-gafprKQBQ&p=HTTP/1.1&t=tcp&yt_vis=1&rc=&psc=1&yt_fn=what_to_watch&c=WEB&cver=2.20191010.04.06&yt_li=0&GetHome_rid=0x5bbaf481444dd20e&st=591&vpst=0&rt=rsbe_dph.2178,rsae_dph.2790,lpcs.2792,lpcf.2793,csl.2808,bs.5925,ai.5929,gcc.5931,nc_pj.5932,rsbe_dpj.5932,rses_dpj.6189,cr_s.6397,cr_c.6921,rsef_dpj.6939,rsae_dpj.6944,ac.6944,apr.6944,chps.6944,nd.7052,pda.7075,pdc.6981,pdr.6990,chls.6990,lps.6993,srt.1742,fpt.5982,nreqs.1563,nress.1742,nrese.4626,ntcps.88,ntcpe.1563,nstcps.584,rsf_sj.1789,rse_sj.2249,hgcr.7045,pdl.7051,bcp.7220,afl.7310,adl.7310,cpt.7342,gle.7515,gpe.7524,pe.8094,fs.8157,cmi.8654,vptl.7373,vpl.7373,ol.7373,aft.7373,ps.8893",HTTP/1.1,1219,0,,204,No Content,HTTP/1.1,0,text/html; charset=utf-8,,,476,0,,,-1,0,-1,115,-1,-1,0,216.58.207.78,,117,value
53,,2019-10-12T08:21:14.593+03:00,POST,https://www.youtube.com/service_ajax?name=feedbackEndpoint,HTTP/1.1,1129,725,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,532,560,,,-1,0,-1,178,-1,-1,0,216.58.207.78,,179,value
54,,2019-10-12T08:21:14.594+03:00,GET,https://www.gstatic.com/youtube/img/promos/growth/6614dc67e9c63722286831feead7a985aada5b5df27b2bc933b585b046e3faaf_640x48.png,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/png,,,456,10669,,,-1,0,-1,104,-1,-1,4,172.217.22.67,,109,
55,,2019-10-12T08:21:14.681+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,391,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,26,0,2691,97,2709,0,0,172.217.22.2,,2834,
56,,2019-10-12T08:21:14.783+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,-1,0,-1,88,-1,-1,8,172.217.22.2,,97,value
57,,2019-10-12T08:21:15.448+03:00,GET,https://fonts.gstatic.com/s/ytsans/v8/46kqlb3ta3zqoJU2dbvnb0Jg0g.woff2,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,17792,,,-1,0,-1,93,-1,-1,20,172.217.22.3,,115,
58,,2019-10-12T08:21:15.501+03:00,GET,https://www.google.co.il/pagead/lvz?pg=index&evtid=ADszL7Mt2ZWZB9mZ9PsXT59LbQmoYaSpOyfK6_qxbfMOPEagIm_1Ka-xIL09xUiL7JYbTU60ST6ELQ32wD0t9Z7C9W0nyzLSTQ&req_ts=1570858712&sigh=ADRnf4bQvJBU-bP0ipwb4DGWN5jhM21O6g,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,0,2755,99,2784,0,0,172.217.22.67,,2885,value
59,,2019-10-12T08:21:15.522+03:00,POST,https://www.youtube.com/notifications_ajax?action_get_registration_token=1,HTTP/1.1,528,0,,400,Bad Request,HTTP/1.1,0,application/json; charset=UTF-8,,,518,30,,,-1,0,-1,230,-1,-1,0,216.58.207.78,,231,value
60,,2019-10-12T08:21:15.530+03:00,GET,https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Fnext%3D%252Fsignin_passive%26hl%3Den%26feature%3Dpassive%26app%3Ddesktop%26action_handle_signin%3Dtrue&hl=en&passive=true&service=youtube&uilel=3,HTTP/1.1,705,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1118,-1,,,26,0,4296,134,4328,0,19,216.58.206.13,,4508,value
61,,2019-10-12T08:21:15.759+03:00,POST,https://www.youtube.com/notifications_ajax?action_register_device=1,HTTP/1.1,607,147,,400,Bad Request,HTTP/1.1,0,application/json; charset=UTF-8,,,518,30,,,-1,0,-1,231,-1,-1,0,216.58.207.78,,232,value
62,,2019-10-12T08:21:17.372+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/miniplayer.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,2185,,,-1,0,-1,93,-1,-1,1,216.58.207.78,,96,
63,,2019-10-12T08:21:17.417+03:00,GET,https://www.google.com/pagead/lvz?pg=index&evtid=ADszL7MQw_B-AsLJ-DM8aKIJHfexUkO2wHXp3iG_7TLtlXNnE5KiT-M7Z-FPRgop2M9Zvmzinhfo9AMGSpS-sEKIzve3NMn9IA&req_ts=1570858712&sigh=ADRnf4bzzt_z7RB6mhPMw4Bd5QZhWPURLA,HTTP/1.1,557,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,0,4667,106,4698,0,0,172.217.21.228,,4806,value
