,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
20,,2019-10-08T15:55:51.811+03:00,CONNECT,https://ir-na.amazon-adsystem.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10028,0,52.46.128.194,,10028,,Unable to connect to host
21,,2019-10-08T15:55:51.951+03:00,CONNECT,https://www.google-analytics.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10037,0,216.58.206.14,,10037,,Unable to connect to host
22,,2019-10-08T15:55:52.044+03:00,CONNECT,https://d3q5x9z5q0y6mi.cloudfront.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10027,0,99.86.255.166,,10027,,Unable to connect to host
23,,2019-10-08T15:55:52.090+03:00,CONNECT,https://stats.g.doubleclick.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10026,0,66.102.1.157,,10027,,Unable to connect to host
24,,2019-10-08T15:55:52.128+03:00,CONNECT,https://cdn.tynt.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10032,0,104.16.87.26,,10032,,Unable to connect to host
25,,2019-10-08T15:55:52.180+03:00,CONNECT,https://secure.quantserve.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10039,0,91.228.74.176,,10039,,Unable to connect to host
26,,2019-10-08T15:56:02.800+03:00,GET,https://freestar-io.videoplayerhub.com/gallery.js,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,515,22486,,,283,7273,26,0,0,7305,34,143.204.192.44,,7650,,
27,,2019-10-08T15:56:03.011+03:00,GET,https://www.googletagservices.com/tag/js/gpt.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,text/javascript,,,766,14485,,,131,7283,34,0,0,7304,39,172.217.21.226,,7510,,
28,,2019-10-08T15:55:53.981+03:00,CONNECT,https://script.crazyegg.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10032,0,104.19.148.8,,10032,,Unable to connect to host
29,,2019-10-08T15:56:04.513+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.sporcle.com,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,99,1267,26,0,0,1285,3,172.217.22.34,,1414,value,
30,,2019-10-08T15:55:55.944+03:00,CONNECT,https://a.pub.network,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10040,0,104.25.191.114,,10040,,Unable to connect to host
31,,2019-10-08T15:56:12.460+03:00,GET,https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019100301.js,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,text/javascript,,,543,58949,,,130,162,0,0,0,9253,275,172.217.22.98,,9660,,
32,,2019-10-08T15:56:13.205+03:00,GET,https://c.amazon-adsystem.com/aax2/apstag.js,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,application/javascript,,,483,21980,,,145,257,26,0,0,277,5,143.204.196.102,,455,,
33,,2019-10-08T15:56:03.204+03:00,CONNECT,https://adservice.google.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,31,0,0,10061,0,172.217.22.34,,10092,,Unable to connect to host
34,,2019-10-08T15:56:13.654+03:00,GET,https://c.amazon-adsystem.com/bao-csm/aps-comm/aps_csm.js,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,application/javascript,,,592,2652,,,88,258,0,0,0,283,1,143.204.196.102,,373,,
35,,2019-10-08T15:56:14.528+03:00,GET,https://s.adtelligent.com/sync.html?aid=410295,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,311,660,,,152,1492,89,0,0,1525,0,67.220.185.74,,1768,value,
36,,2019-10-08T15:56:14.952+03:00,GET,https://ib.adnxs.com/getuid?https%3A%2F%2Fsync.adtelligent.com%2Fcsync%3Ft%3Da%26ep%3D285868%26extuid%3D%24UID,HTTP/1.1,701,0,,200,OK,HTTP/1.1,0,image/gif,,,793,43,,,111,155,0,0,0,251,0,37.252.172.249,,365,value,
37,,2019-10-08T15:56:16.346+03:00,GET,https://px.adhigh.net/p/cm/152media,HTTP/1.1,600,0,,302,Found,HTTP/1.1,0,,,https://sync.adkernel.com/user-sync?dsp=37&t=image&dspi=1&uid=8IdVb3LijZ1.AikABlFtq324hw,754,0,,,128,1580,31,0,0,1613,0,136.243.75.6,,1774,,
38,,2019-10-08T15:56:16.365+03:00,GET,https://sync.adtelligent.com/csync?redir=https%3A%2F%2Fssp.pub.network%2Fssp-server%2Fcookiesync%3Fuid%3D%5BOUR_USER_COOKIE%5D%26dsp%3D152%26dsp_uid%3D%7Buid%7D,HTTP/1.1,613,0,,302,Found,HTTP/1.1,0,,,https://ssp.pub.network/ssp-server/cookiesync?uid=[OUR_USER_COOKIE]&dsp=152&dsp_uid=bb72272f409562a7,325,0,,,161,1570,64,0,0,1600,0,209.205.217.82,,1827,value,
39,,2019-10-08T15:56:16.854+03:00,GET,https://sync.adkernel.com/user-sync?dsp=37&t=image&dspi=1&uid=8IdVb3LijZ1.AikABlFtq324hw,HTTP/1.1,616,0,,200,OK,HTTP/1.1,0,image/gif,,,290,42,,,103,266,0,0,0,372,0,77.245.58.151,,477,value,
40,,2019-10-08T15:56:17.981+03:00,GET,https://ssp.pub.network/ssp-server/cookiesync?uid=[OUR_USER_COOKIE]&dsp=152&dsp_uid=bb72272f409562a7,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/json,,,136,0,,,206,1394,0,0,0,1448,0,35.202.179.74,,1655,value,
