,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-10-11T14:16:34.312+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,502,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,-1,114,-1,1,-1,-1,208,45.32.213.115,,324,,
11,,2019-10-11T14:16:34.584+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,-1,8,-1,0,-1,-1,198,45.32.213.115,,207,,
12,,2019-10-11T14:16:34.586+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,-1,170,-1,0,-1,-1,340,45.32.213.115,,511,,
13,,2019-10-11T14:16:35.606+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,763,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,-1,0,-1,0,-1,-1,222,45.32.213.115,,223,,
14,,2019-10-11T14:16:35.617+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,648,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,1,-1,-1,0,45.32.213.115,,1,No response received,
15,,2019-10-11T14:16:36.381+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1886,30,0,1,0,1857,103,216.58.206.14,,2022,,
16,,2019-10-11T14:16:36.539+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1085967820&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=511769832&gjid=60200891&cid=137656702.1570792597&tid=UA-41030847-1&_gid=783735287.1570792597&_r=1&z=153702640,HTTP/1.1,683,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,0,-1,-1,102,216.58.206.14,,103,,value
17,,2019-10-11T14:16:37.390+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20530,,,2776,55,0,0,33,2747,234,172.217.16.142,,3101,,
18,,2019-10-11T14:16:37.684+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,560,41451,,,-1,69,-1,0,-1,-1,82,172.217.16.142,,153,,
19,,2019-10-11T14:16:37.829+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,39029,,,148,87,0,2,0,116,84,172.217.16.142,,322,,
20,,2019-10-11T14:16:37.829+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393529,,,150,286,0,1,0,118,90,172.217.16.142,,529,,
21,,2019-10-11T14:16:38.346+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30003,,,-1,11,-1,0,-1,-1,95,172.217.16.142,,107,,
22,,2019-10-11T14:16:41.201+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,2879,0,0,1,35,2851,104,216.58.206.6,,3020,,
23,,2019-10-11T14:16:43.134+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,4852,0,0,0,0,4822,120,172.217.23.98,,4974,,
24,,2019-10-11T14:16:43.270+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,172.217.23.98,,0,No response received,value
25,,2019-10-11T14:16:43.797+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,574,3492,,,5384,1,0,4,18,5350,102,172.217.22.97,,5511,,
26,,2019-10-11T14:16:45.713+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,512,5323,,,7425,1,0,0,0,7398,108,216.58.205.228,,7536,,
27,,2019-10-11T14:16:45.733+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15552,,,7276,32,0,0,46,7250,87,172.217.21.227,,7443,,
28,,2019-10-11T14:16:45.735+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15344,,,7279,27,0,0,46,7252,81,172.217.21.227,,7434,,
29,,2019-10-11T14:16:45.975+03:00,GET,https://www.youtube.com/generate_204?rguqfg,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,0,-1,-1,88,172.217.16.142,,89,,value
30,,2019-10-11T14:16:46.739+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,443,88612,,,8316,133,0,0,26,8287,120,172.217.22.54,,8598,,
