,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-10-09T17:57:30.853+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,-1,-1,2,0,-1,-1,321,45.32.213.115,,324,,
11,,2019-10-09T17:57:31.152+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,527,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,-1,-1,3,0,-1,-1,241,45.32.213.115,,245,,
12,,2019-10-09T17:57:31.154+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,-1,-1,129,0,-1,-1,336,45.32.213.115,,467,,
13,,2019-10-09T17:57:31.620+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,759,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,-1,-1,0,0,-1,-1,216,45.32.213.115,,217,,
14,,2019-10-09T17:57:31.632+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,644,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,45.32.213.115,,0,No response received,
15,,2019-10-09T17:57:33.450+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,2384,27,0,23,2354,110,216.58.206.14,,2546,,
16,,2019-10-09T17:57:33.616+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1427365921&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=868719320&gjid=298754798&cid=1273147921.1570633054&tid=UA-41030847-1&_gid=236394868.1570633054&_r=1&z=1002618185,HTTP/1.1,686,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,0,-1,-1,97,216.58.206.14,,98,,value
17,,2019-10-09T17:57:34.980+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20421,,,0,3800,54,0,31,3765,233,216.58.207.46,,4119,,
18,,2019-10-09T17:57:35.271+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,-1,50,0,-1,-1,92,216.58.207.46,,144,,
19,,2019-10-09T17:57:35.400+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl0s3MKB/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,165,84,1,0,130,82,216.58.207.46,,333,,
20,,2019-10-09T17:57:35.402+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393260,,,0,169,293,1,0,134,91,216.58.207.46,,555,,
21,,2019-10-09T17:57:35.934+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29996,,,-1,-1,14,0,-1,-1,83,216.58.207.46,,98,,
22,,2019-10-09T17:57:37.260+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,574,3492,,,0,1239,1,1,35,1205,101,216.58.210.1,,1379,,
23,,2019-10-09T17:57:38.393+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,0,2363,30,0,26,2337,105,172.217.22.3,,2527,,
24,,2019-10-09T17:57:38.457+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,2409,29,0,26,2382,110,172.217.22.3,,2576,,
25,,2019-10-09T17:57:38.670+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,0,2781,0,0,36,2740,110,216.58.210.2,,2929,,
26,,2019-10-09T17:57:38.788+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,-1,-1,0,0,-1,-1,101,216.58.210.2,,102,,value
27,,2019-10-09T17:57:38.916+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,0,3058,2,0,0,3023,95,172.217.21.228,,3157,,
28,,2019-10-09T17:57:39.164+03:00,GET,https://www.youtube.com/generate_204?FmWfvg,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,-1,0,0,-1,-1,94,216.58.207.46,,94,,value
29,,2019-10-09T17:57:39.829+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,0,3933,0,0,37,3898,106,216.58.206.6,,4079,,
30,,2019-10-09T17:57:40.872+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,446,88612,,,0,4844,142,0,41,4817,113,172.217.22.54,,5142,,
