,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,response._error
10,,2019-10-09T19:07:21.210+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/LocationPage.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,7724,,,-1,-1,0,0,-1,117,-1,23.55.0.237,,118,
11,,2019-10-09T19:07:21.210+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/MoviePage.js,HTTP/1.1,550,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,981,33607,,,-1,-1,28,0,-1,156,-1,23.55.0.237,,185,
12,,2019-10-09T19:07:21.225+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,2035,,,-1,-1,0,0,-1,108,-1,23.55.0.237,,109,
13,,2019-10-09T19:07:21.225+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/TheatersPage.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,979,11942,,,-1,-1,0,0,-1,122,-1,23.55.0.237,,124,
14,,2019-10-09T19:07:21.227+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/AtHomePage.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,979,13244,,,-1,-1,0,0,-1,212,-1,23.55.0.237,,214,
15,,2019-10-09T19:07:20.931+03:00,CONNECT,https://sb.scorecardresearch.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,1476,0,0,37,0,-1,23.38.33.253,,1514,Unable to connect to host
16,,2019-10-09T19:07:20.931+03:00,CONNECT,https://cdnssl.clicktale.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,4580,0,0,33,0,-1,96.6.249.168,,4613,Unable to connect to host
17,,2019-10-09T19:07:20.752+03:00,CONNECT,https://consent.truste.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5288,0,0,28,0,-1,13.225.249.13,,5316,Unable to connect to host
18,,2019-10-09T19:07:26.063+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,321,0,0,0,0,-1,99.84.8.113,,322,Unable to connect to host
19,,2019-10-09T19:07:21.036+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5299,0,0,186,0,-1,99.84.8.113,,5485,Unable to connect to host
20,,2019-10-09T19:07:21.049+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5300,0,0,172,0,-1,99.84.8.113,,5473,Unable to connect to host
21,,2019-10-09T19:07:26.531+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16965677_p_v13_ad.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36943,,,0,988,67,0,0,97,955,99.84.8.113,,1154,
22,,2019-10-09T19:07:21.049+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5309,0,0,173,0,-1,99.84.8.113,,5483,Unable to connect to host
23,,2019-10-09T19:07:20.933+03:00,CONNECT,https://assets.adobedtm.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5566,0,0,35,0,-1,212.55.188.52,,5601,Unable to connect to host
24,,2019-10-09T19:07:21.041+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5312,0,0,181,0,-1,99.84.8.113,,5494,Unable to connect to host
25,,2019-10-09T19:07:21.036+03:00,CONNECT,https://resizing.flixster.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,5314,0,0,187,0,-1,99.84.8.113,,5501,Unable to connect to host
26,,2019-10-09T19:07:26.539+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17162880_p_v13_ab.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,37930,,,0,4127,23,0,0,144,4098,99.84.8.113,,4296,
27,,2019-10-09T19:07:26.705+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17086236_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36019,,,-1,-1,36,0,-1,96,-1,99.84.8.113,,132,
28,,2019-10-09T19:07:26.716+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17388575_p_v13_ab.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,37100,,,-1,-1,42,0,-1,91,-1,99.84.8.113,,134,
29,,2019-10-09T19:07:26.782+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15791438_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,47249,,,0,270,54,1,0,129,241,99.84.8.113,,456,
30,,2019-10-09T19:07:26.782+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15728868_p_v13_ae.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,32944,,,0,254,34,0,0,139,232,99.84.8.113,,428,
31,,2019-10-09T19:07:26.792+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17207584_p_v13_ab.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,29044,,,0,280,38,0,0,104,253,99.84.8.113,,424,
32,,2019-10-09T19:07:26.805+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16945954_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,43043,,,0,271,71,0,0,94,232,99.84.8.113,,438,
33,,2019-10-09T19:07:26.842+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17118309_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36888,,,-1,-1,23,0,-1,99,-1,99.84.8.113,,123,
34,,2019-10-09T19:07:26.860+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17332453_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,38881,,,-1,-1,64,1,-1,90,-1,99.84.8.113,,155,
35,,2019-10-09T19:07:26.941+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17427848_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,40116,,,-1,-1,20,1,-1,163,-1,99.84.8.113,,185,
