,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
11,,2019-10-08T17:44:36.943+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,594,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,-1,3,-1,-1,0,93,-1,172.217.22.66,,97,
12,,2019-10-08T17:44:36.961+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6141684361710958&output=html&h=280&slotname=7331917240&adk=1394705086&adf=408460107&w=500&fwrn=4&fwrnh=100&lmt=1570545876&rafmt=1&guci=2.2.0.0.2.2.0.0&format=500x280&url=https%3A%2F%2Ftheuselessweb.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570545876904&bpp=36&bdt=374&idt=37&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=4089307305110&frm=20&pv=2&ga_vid=1044175924.1570545865&ga_sid=1570545865&ga_hid=1381368587&ga_fc=1&iag=0&icsg=1002&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=140&ady=475&biw=779&bih=600&scr_x=0&scr_y=0&eid=20040013%2C20199336%2C21064714%2C332260031%2C332260041%2C368226301%2C368226306%2C368226311%2C42631003&oid=3&pvsid=3211723789625019&pem=818&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CaeE%7C&abl=CA&pfx=0&fu=8336&bc=31&ifi=1&uci=1.tw4z45cgl9rq&xpc=bkpK071wFX&p=https%3A//theuselessweb.com&dtd=50,HTTP/1.1,1521,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1075,199,,,9129,0,0,0,1,257,110,172.217.22.66,,9388,value
13,,2019-10-08T17:44:37.044+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6141684361710958&output=html&adk=1812271804&adf=3025194257&lmt=1570545876&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Ftheuselessweb.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570545876964&bpp=4&bdt=434&idt=4&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=500x280&nras=1&correlator=4089307305110&frm=20&pv=1&ga_vid=1044175924.1570545865&ga_sid=1570545865&ga_hid=1381368587&ga_fc=1&iag=0&icsg=33770&dssz=12&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=20040013%2C20199336%2C21064714%2C332260031%2C332260041%2C368226301%2C368226306%2C368226311%2C42631003&oid=3&pvsid=3211723789625019&pem=818&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=8208&bc=31&ifi=1&uci=1.izezlzk3aqgf&dtd=9,HTTP/1.1,1499,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1051,0,,,-1,0,-1,-1,0,94,-1,172.217.22.66,,95,value
14,,2019-10-08T17:44:37.076+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,617,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,2,-1,-1,0,102,-1,93.184.220.66,,106,value
15,,2019-10-08T17:44:37.180+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/OqOE21UvWe3.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,520,400,,,-1,0,-1,-1,0,95,-1,31.13.92.14,,96,
16,,2019-10-08T17:44:37.197+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,594,79,,,-1,0,-1,-1,0,202,-1,104.244.42.72,,203,
17,,2019-10-08T17:44:37.200+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,2,-1,-1,0,84,-1,93.184.220.66,,87,
18,,2019-10-08T17:44:37.311+03:00,GET,https://platform.twitter.com/widgets/tweet_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,580,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,12257,,,-1,6,-1,-1,0,85,-1,93.184.220.66,,92,
19,,2019-10-08T17:44:37.358+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,-1,77,-1,-1,0,82,-1,172.217.21.232,,160,
20,,2019-10-08T17:44:37.359+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yF/l/he_IL/o37SKuz2Wxw.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,124262,,,-1,77,-1,-1,0,128,-1,31.13.92.14,,206,value
21,,2019-10-08T17:44:37.431+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,669,2031,,,886,1,0,0,0,92,860,104.24.109.21,,981,
22,,2019-10-08T17:44:37.551+03:00,GET,https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=1392610529&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=1381368587&utmr=-&utmp=%2F&utmht=1570545877540&utmac=UA-35944549-1&utmcc=__utma%3D17164284.1044175924.1570545865.1570545865.1570545865.1%3B%2B__utmz%3D17164284.1570545865.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAABE~,HTTP/1.1,842,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,-1,0,-1,-1,0,109,-1,172.217.21.232,,110,value
23,,2019-10-08T17:44:37.558+03:00,GET,https://syndication.twitter.com/i/jot?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Ftheuselessweb.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22m%3Anocount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1570545877549%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%22708eecd%3A1570046592825%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22share%22%2C%22action%22%3A%22impression%22%7D%7D,HTTP/1.1,909,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,635,65,,,-1,0,-1,-1,0,208,-1,104.244.42.72,,209,value
24,,2019-10-08T17:44:38.130+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,11739,62,0,0,0,121,2709,172.217.22.66,,11923,value
