,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-11T13:30:20.240+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/rays2.png,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,image/png,,,411,80267,,,378,-1,-1,-1,94,-1,1,151.139.128.10,,474,
11,,2019-10-11T13:30:20.241+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-tiles-3.gif,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/gif,,,408,2745,,,171,-1,-1,-1,90,-1,1,151.139.128.10,,263,
12,,2019-10-11T13:30:20.381+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/passfields-nolabels.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,408,1684,,,110,-1,-1,-1,84,-1,0,151.139.128.10,,195,
13,,2019-10-11T13:30:20.447+03:00,GET,https://style-cdn.ravelrycache.com/images/join-now-2.png,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,image/png,,,408,1887,,,246,-1,-1,-1,96,-1,0,151.139.128.10,,343,
14,,2019-10-11T13:30:20.487+03:00,GET,https://style-cdn.ravelrycache.com/images/btn0.png,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/png,,,408,1189,,,160,-1,-1,-1,146,-1,0,151.139.128.10,,307,
15,,2019-10-11T13:30:20.493+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-no-gradient-2.gif,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,image/gif,,,409,5829,,,306,0,247,0,93,220,0,151.139.128.10,,649,
16,,2019-10-11T13:30:20.514+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/red-gradient-3.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,408,2472,,,0,-1,-1,-1,91,-1,0,151.139.128.10,,93,
17,,2019-10-11T13:30:20.582+03:00,GET,https://style-cdn.ravelrycache.com/images/join-now-lit-2.png,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/png,,,408,1907,,,124,-1,-1,-1,93,-1,0,151.139.128.10,,219,
18,,2019-10-11T13:30:20.610+03:00,GET,https://style-cdn.ravelrycache.com/images/splash/yarn-footer-3.gif,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/gif,,,409,5500,,,353,-1,-1,-1,218,-1,0,151.139.128.10,,573,
19,,2019-10-11T13:30:22.183+03:00,GET,https://badges.ravelrycache.com/square_48.png,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/png,,,314,4011,,,0,0,1918,29,199,1899,3,192.34.84.5,,2151,
20,,2019-10-11T13:30:24.550+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,367,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,33,0,4276,37,95,4247,0,172.217.23.104,,4443,
21,,2019-10-11T13:30:24.754+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=430517905&utmhn=www.ravelry.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x579&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Ravelry%20-%20a%20knit%20and%20crochet%20community&utmhid=1096865578&utmr=-&utmp=%2Faccount%2Flogin&utmht=1570789824746&utmac=UA-2348901-2&utmcc=__utma%3D67132946.552731174.1570789825.1570789825.1570789825.1%3B%2B__utmz%3D67132946.1570789825.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&aip=1&utmjid=269157873&utmredir=1&utmu=qAQAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,922,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,1,-1,-1,-1,95,-1,1,172.217.23.104,,98,value
