,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
14,,2019-10-11T13:07:53.923+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,623,112469,,,112,-1,-1,-1,-1,0,83,13.225.250.134,,196,,
15,,2019-10-11T13:07:54.010+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,image/png,,,621,59060,,,75,-1,-1,-1,-1,0,88,13.225.250.134,,164,,
16,,2019-10-11T13:07:56.198+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,627,4398,,,2,1993,0,73,1962,1,135,104.25.50.33,,2205,,
17,,2019-10-11T13:07:57.846+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19762,,,50,3588,0,29,3562,0,112,216.58.207.72,,3781,value,
18,,2019-10-11T13:07:57.911+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,1650,7174,0,32,7156,1,101,209.197.3.15,,8959,,
19,,2019-10-11T13:07:57.911+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,658,7174,0,27,7148,0,96,209.197.3.15,,7957,,
20,,2019-10-11T13:07:59.208+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,29,1156,0,21,1138,0,81,216.58.206.14,,1288,,
21,,2019-10-11T13:07:59.343+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-NG5PMVX&t=gtm1&cid=236718083.1570788479,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,24085,,,30,-1,-1,-1,-1,0,103,216.58.206.14,,134,value,
22,,2019-10-11T13:07:59.496+03:00,GET,https://www.googletagmanager.com/a?id=GTM-NG5PMVX&cv=4&t=ol&g=160&p=gtm&l=8791&q=8649&f=138&e=8&i=19&sr=0.050000&ps=0.03975228292164679&cb=713597880,HTTP/1.1,503,0,,204,No Content,HTTP/1.1,0,image/gif,,,404,0,,,0,-1,-1,-1,-1,0,99,216.58.207.72,,99,value,
23,,2019-10-11T13:07:59.700+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.33160167791260053,HTTP/1.1,655,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,0,0,13.225.250.134,,0,value,No response received
24,,2019-10-11T13:07:59.707+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,621,0,,200,OK,HTTP/1.1,0,image/png,,,620,32561,,,17,-1,-1,-1,-1,0,92,13.225.250.134,,110,,
