,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
11,,2019-10-11T13:09:17.087+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,-1,-1,1,0,90,-1,-1,13.226.6.164,,92,
12,,2019-10-11T13:09:17.088+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,-1,-1,0,0,92,-1,-1,13.226.6.164,,93,
13,,2019-10-11T13:09:17.090+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,-1,-1,0,0,100,-1,-1,13.226.6.164,,101,
14,,2019-10-11T13:09:17.091+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,-1,-1,1,0,87,-1,-1,13.226.6.164,,89,
15,,2019-10-11T13:09:17.091+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,-1,-1,1,0,99,-1,-1,13.226.6.164,,100,
16,,2019-10-11T13:09:17.092+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,-1,-1,0,0,98,-1,-1,13.226.6.164,,100,
17,,2019-10-11T13:09:17.099+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Bold.woff,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,56944,,,-1,-1,29,0,78,-1,-1,13.226.6.164,,109,
18,,2019-10-11T13:09:17.154+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,792,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,0,274,-1,-1,52.73.238.209,,275,
19,,2019-10-11T13:09:17.157+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,827,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,0,208,-1,-1,52.73.238.209,,209,
20,,2019-10-11T13:09:17.159+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,820,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,0,283,-1,-1,52.73.238.209,,284,
21,,2019-10-11T13:09:17.188+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,-1,-1,0,0,101,-1,-1,13.226.6.164,,102,
22,,2019-10-11T13:09:17.210+03:00,POST,https://collector-pxasqjfz9w.perimeterx.net/api/v2/collector,HTTP/1.1,575,386,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,445,436,,,-1,-1,0,0,116,-1,-1,35.190.10.112,,117,
23,,2019-10-11T13:09:17.213+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,-1,-1,0,0,84,-1,-1,13.226.6.164,,85,
24,,2019-10-11T13:09:17.213+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3190,,,-1,-1,2,0,82,-1,-1,13.226.6.164,,84,
25,,2019-10-11T13:09:17.214+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,-1,-1,0,0,83,-1,-1,13.226.6.164,,84,
26,,2019-10-11T13:09:17.215+03:00,GET,https://www.duolingo.com/api/1/courses/list?_=1570788557152,HTTP/1.1,1271,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,680,2911,,,-1,-1,0,0,196,-1,-1,3.219.183.180,,198,value
27,,2019-10-11T13:09:17.217+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Regular.woff,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,54921,,,-1,-1,17,0,98,-1,-1,13.226.6.164,,117,
28,,2019-10-11T13:09:17.219+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,463,,,-1,-1,0,0,87,-1,-1,13.226.6.164,,88,
29,,2019-10-11T13:09:17.246+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,362,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,-1,22,0,85,-1,-1,216.58.206.14,,109,
30,,2019-10-11T13:09:17.246+03:00,GET,https://connect.facebook.net/en_US/fbevents.js,HTTP/1.1,363,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1177,22375,,,-1,-1,8,0,91,-1,-1,157.240.1.23,,100,
31,,2019-10-11T13:09:17.274+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,993,,,-1,-1,0,0,82,-1,-1,13.226.6.164,,83,
32,,2019-10-11T13:09:17.306+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,618,,,-1,-1,0,0,84,-1,-1,13.226.6.164,,85,
33,,2019-10-11T13:09:17.306+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3419,,,-1,-1,4,0,80,-1,-1,13.226.6.164,,85,
34,,2019-10-11T13:09:17.307+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2078,,,-1,-1,1,0,83,-1,-1,13.226.6.164,,84,
35,,2019-10-11T13:09:17.424+03:00,GET,https://connect.facebook.net/signals/config/1735692093320310?v=2.9.5&r=stable,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1177,66299,,,-1,-1,27,0,108,-1,-1,157.240.1.23,,135,value
36,,2019-10-11T13:09:17.547+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1249566144&t=pageview&_s=1&dl=https%3A%2F%2Fwww.duolingo.com%2F&ul=en-us&de=UTF-8&dt=Duolingo%20-%20The%20world%27s%20best%20way%20to%20learn%20a%20language&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=QACAAEAB~&jid=&gjid=&cid=1297602003.1570788543&tid=UA-21595814-1&_gid=1288686285.1570788543&gtm=2wga21TX6Z97C&did=i5iSjo&z=813259897,HTTP/1.1,736,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,-1,-1,0,0,78,-1,-1,216.58.206.14,,79,value
37,,2019-10-11T13:09:17.593+03:00,GET,https://www.facebook.com/tr/?id=1735692093320310&ev=PageView&dl=https%3A%2F%2Fwww.duolingo.com%2F&rl=&if=false&ts=1570788557591&sw=800&sh=600&v=2.9.5&r=stable&ec=0&o=157&fbp=fb.1.1570788545615.88720731&it=1570788557414&coo=false&rqm=GET,HTTP/1.1,641,0,,200,OK,HTTP/1.1,0,image/gif,,,367,44,,,-1,-1,0,0,93,-1,-1,157.240.1.35,,94,value
