,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-08T16:13:06.443+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,0,375,276,282,0,250,0,165.227.192.63,,934,
11,,2019-10-08T16:13:06.448+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,10,281,289,0,255,0,165.227.192.63,,581,
12,,2019-10-08T16:13:06.554+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,9,285,294,0,245,0,165.227.192.63,,591,
13,,2019-10-08T16:13:06.671+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,19,274,297,0,246,0,165.227.192.63,,593,
14,,2019-10-08T16:13:07.095+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,9,361,288,1,323,0,165.227.192.63,,661,
15,,2019-10-08T16:13:07.106+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,-1,9,-1,166,0,-1,-1,165.227.192.63,,176,
16,,2019-10-08T16:13:07.108+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,402,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,21574,,,0,3,356,289,0,330,0,165.227.192.63,,650,
17,,2019-10-08T16:13:07.155+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,409,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,85481,,,0,172,296,307,0,259,0,165.227.192.63,,777,
18,,2019-10-08T16:13:07.291+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,401,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,2922068,,,0,1853,306,326,0,260,0,165.227.192.63,,2486,
19,,2019-10-08T16:13:07.318+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1121140530&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=980888998&gjid=1876590382&cid=2114831138.1570540387&tid=UA-42700626-2&_gid=630790282.1570540387&_r=1&z=1569876439,HTTP/1.1,677,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=2114831138.1570540387&jid=980888998&_gid=630790282.1570540387&gjid=1876590382&_v=j79&z=1569876439,645,418,,,-1,0,-1,102,0,-1,-1,216.58.206.14,,103,value
20,,2019-10-08T16:13:07.420+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,483,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,218182,,,-1,313,-1,167,0,-1,-1,165.227.192.63,,482,
21,,2019-10-08T16:13:07.665+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,489,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,-1,,,-1,0,-1,193,0,-1,-1,165.227.192.63,,194,
22,,2019-10-08T16:13:10.818+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=2114831138.1570540387&jid=980888998&_gid=630790282.1570540387&gjid=1876590382&_v=j79&z=1569876439,HTTP/1.1,533,0,,200,OK,HTTP/1.1,0,image/gif,,,566,35,,,0,0,3380,99,0,3350,3,74.125.206.156,,3484,value
