,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-08T16:44:28.654+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=9252930937&adk=3933521251&adf=2668242184&w=336&lmt=1570542265&guci=2.2.0.0.2.2.0.0&format=336x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&wgl=1&dt=1570542265565&bpp=13&bdt=4522&fdt=348&idt=348&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280&correlator=7625862544672&frm=20&pv=1&ga_vid=1593676139.1570542263&ga_sid=1570542266&ga_hid=614748992&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=342&ady=1126&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=3047863896909291&pem=186&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeEbr%7C&abl=CS&pfx=0&fu=16&bc=31&ifi=2&uci=a!2&xpc=rYWiqNGo7p&p=https%3A//pokemonshowdown.com&dtd=370,HTTP/1.1,1364,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,1,240,2611,0,2637,0,172.217.16.194,,2879,value
11,,2019-10-08T16:44:28.732+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&adk=1812271804&adf=3025194257&lmt=1570542265&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Fpokemonshowdown.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570542265579&bpp=8&bdt=4537&fdt=384&idt=384&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280%2C336x280&nras=1&correlator=7625862544672&frm=20&pv=1&ga_vid=1593676139.1570542263&ga_sid=1570542266&ga_hid=614748992&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=3047863896909291&pem=186&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=2&uci=a!2&dtd=392,HTTP/1.1,1379,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,-1,0,121,-1,0,-1,-1,172.217.16.194,,122,value
12,,2019-10-08T16:44:28.965+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CF9qgz5acXd-0Co3u3wOtkbX4AoPsleVY9NiX-qAJv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoEqQFP0Diq7NUbp-CHoERG8wzdMQfnGKVRG1ESiC6G3puZpSR149EIrfp-37Bhc4Jk0Wx5f1IphiaoKmFoACE5t_D97oxnQyfGkAEVQvdUtshlu6lFMMcw-I23ojoGsrMnBiwUQJd-H-z80vQ2fpVTxKmd7NNe4-unvcZGJSEjrDKIPmNIKccWTlSIFM6fepzG-FYobCmyErQAdbCUqRE_NLPSy3nncCYwFvMiwAS_-MyqlAKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQgLgU0ggHCIBhEAEYHoAKAdgTDA&sigh=8nivakNobE0&tpd=AGWhJmuaMa9PZpNOytyRpU3IisxEqLkHxdl0DHgHmRMlMKC5KQ,HTTP/1.1,1862,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,-1,1,128,-1,0,-1,-1,172.217.16.194,,129,value
13,,2019-10-08T16:44:29.088+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,37,0,112,3437,0,3471,0,172.217.16.130,,3623,value
14,,2019-10-08T16:44:30.712+03:00,GET,https://www.youtube.com/embed/daw9GoZWWSI,HTTP/1.1,514,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20309,,,44,0,219,9423,49,9454,0,172.217.22.78,,9769,
15,,2019-10-08T16:44:30.989+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,561,41442,,,-1,0,92,-1,86,-1,-1,172.217.22.78,,179,
16,,2019-10-08T16:44:31.126+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflZdmLhS/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,0,90,112,125,151,0,172.217.22.78,,368,
17,,2019-10-08T16:44:31.156+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393173,,,0,1,95,122,366,173,0,172.217.22.78,,635,
18,,2019-10-08T16:44:31.776+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1020,133,,,-1,4,101,-1,1,-1,-1,172.217.16.194,,107,
19,,2019-10-08T16:44:31.804+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,37,0,104,6156,0,6182,0,172.217.16.194,,6326,value
20,,2019-10-08T16:44:31.849+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1593676139.1570542263&jid=193736183&_gid=1515578687.1570542263&gjid=1853395842&_v=j79&z=341616919,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,38,1,95,8152,0,8183,0,66.102.1.155,,8317,value
21,,2019-10-08T16:44:31.928+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30002,,,-1,0,96,-1,13,-1,-1,172.217.22.78,,109,
22,,2019-10-08T16:44:32.033+03:00,GET,https://tpc.googlesyndication.com/simgad/2671993393372279051?sqp=4sqPyQQ7QjkqNxABHQAAtEIgASgBMAk4A0DwkwlYAWBfcAKAAQGIAQGdAQAAgD-oAQGwAYCt4gS4AV_FAS2ynT4&rs=AOga4qnnFE7xDYzZzOuZA0b-224QLAQLzA,HTTP/1.1,1435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,520,133286,,,36,1,87,2945,181,2985,0,216.58.207.65,,3291,value
23,,2019-10-08T16:44:32.062+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1284,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,11455,,,0,1,91,200,21,228,0,216.58.207.65,,342,
24,,2019-10-08T16:44:32.078+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1302,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,0,1,88,2970,2,3006,0,216.58.207.65,,3099,
25,,2019-10-08T16:44:32.179+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1295,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,-1,0,88,-1,0,-1,-1,216.58.207.65,,90,
26,,2019-10-08T16:44:32.204+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1501,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,608,145,,,-1,0,97,-1,0,-1,-1,172.217.16.194,,99,value
27,,2019-10-08T16:44:34.281+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1298,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,14391,,,0,1,115,245,33,272,0,216.58.207.65,,422,
28,,2019-10-08T16:44:34.382+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,0,1,97,2563,0,2587,0,172.217.18.4,,2687,
29,,2019-10-08T16:44:34.388+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,0,0,83,2041,2,2063,0,172.217.18.4,,2150,
30,,2019-10-08T16:44:34.485+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,-1,0,131,-1,0,-1,-1,172.217.16.194,,133,
31,,2019-10-08T16:44:34.681+03:00,GET,https://www.youtube.com/generate_204?OocSKw,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,90,-1,0,-1,-1,172.217.22.78,,91,value
32,,2019-10-08T16:44:35.106+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,54,0,91,3008,0,3039,0,172.217.16.134,,3186,
33,,2019-10-08T16:44:35.356+03:00,GET,https://yt3.ggpht.com/-3S_ingbAD6c/AAAAAAAAAAI/AAAAAAAAAAA/5VWHXs6ewR0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,576,1649,,,29,0,99,3184,1,3224,0,216.58.207.65,,3354,
34,,2019-10-08T16:44:36.906+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1296,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,1,0,92,10929,73,10965,0,172.217.16.194,,11132,value
35,,2019-10-08T16:44:36.947+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,0,0,110,7900,64,7937,0,172.217.16.194,,8112,value
36,,2019-10-08T16:44:37.113+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1296,0,,200,OK,HTTP/1.1,0,text/javascript,,,738,5323,,,-1,0,86,-1,2,-1,-1,172.217.16.194,,89,
37,,2019-10-08T16:44:38.029+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15344,,,0,0,108,1101,23,1131,0,172.217.16.131,,1263,
38,,2019-10-08T16:44:38.265+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsthfEBRIWiahvndmOke_mPOTqcSl_tnTjl0xQdAHnOC0Yjn8TWXpN9s3Q9saVe_gPoe5evD0eIWF6NoY8t-lfPsY4KxGjmPHI1y0OfTyCSMWlflvmA&sai=AMfl-YTLhVs3M_m2lH6i_6w2nvesx9qMTF48_c9WoBAB6tGb-IBiBIKfXQ6dm0d6xyN_1ciPRFx3lJwvJArW&sig=Cg0ArKJSzDLAulrIOWErEAE&adk=1562799790&tt=-1&bs=779%2C600&mtos=1007,1007,1007,1007,1007&tos=1007,0,0,0,0&p=81,15,361,764&mcvt=1007&rs=1&ht=0&tfs=123&tls=1130&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=18&niot_cbk=33&md=2&lm=2&rst=1570542265898&dlt=3024&rpt=11239&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C1441&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-15-12-24-51-10-0-0-0&tvt=1117&r=v&id=osdim&vs=4&uc=12&upc=1&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=749x193&itpl=4&v=20191007",HTTP/1.1,1977,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,-1,0,126,-1,0,-1,-1,172.217.16.194,,127,value
39,,2019-10-08T16:44:39.275+03:00,GET,https://i.ytimg.com/vi/daw9GoZWWSI/default.jpg,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,image/jpeg,,,454,4111,,,40,0,177,2346,5,2374,0,172.217.23.150,,2598,
