,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
13,,2019-10-12T14:58:15.474+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery110203565799277724986_1570881490806&uss_type=1&uss_session=15708814908170.29087066936673134&uss_anticache=0.9291708219473567&action=uss_getstring&_=1570881490807,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,463,,,-1,0,-1,-1,0,-1,157,217.160.0.94,,158,value
14,,2019-10-12T14:58:15.547+03:00,GET,https://rcm-na.amazon-adsystem.com/e/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,612,0,,302,Found,HTTP/1.1,0,text/html; charset=iso-8859-1,,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,440,277,,,0,0,4635,94,0,4603,179,52.46.129.238,,4910,value
15,,2019-10-12T14:58:15.640+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery110203565799277724986_1570881490806&uss_type=2&uss_session=15708814908170.29087066936673134&uss_anticache=0.03568605922245838&action=uss_getstring&_=1570881490808,HTTP/1.1,942,0,,200,OK,HTTP/1.1,0,application/json,,,208,522,,,-1,0,-1,-1,0,-1,171,217.160.0.94,,173,value
16,,2019-10-12T14:58:15.819+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery110203565799277724986_1570881490806&uss_type=3&uss_session=15708814908170.29087066936673134&uss_anticache=0.5547485849691149&action=uss_getstring&_=1570881490809,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,422,,,-1,0,-1,-1,0,-1,148,217.160.0.94,,149,value
17,,2019-10-12T14:58:16.623+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,544,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,516,11778,,,0,6,1404,25,0,1375,111,31.13.92.14,,1549,value
18,,2019-10-12T14:58:16.939+03:00,GET,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,614,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,474,45299,,,0,183,1116,90,0,1088,196,54.239.26.81,,1587,value
19,,2019-10-12T14:58:19.321+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/r/json?cb=1570881497336&logType=banner_impressions&p=%7B%22mobile_supported%22%3A%22true%22%2C%22action%22%3A%22onload%22%2C%22adunit_type%22%3A%22banners%22%2C%22adunit_properties%22%3A%7B%22height%22%3A%22%24%7Bheight%7D%22%2C%22width%22%3A%22%24%7Bwidth%7D%22%2C%22category%22%3A%22%24%7Bcampaigns%7D%22%2C%22marketplace%22%3A%22amazon%22%2C%22link_id%22%3A%22%24%7Blinkid%7D%22%2C%22region%22%3A%22US%22%7D%2C%22logType%22%3A%22banner_impressions%22%7D,HTTP/1.1,974,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,0,0,1888,94,0,1849,171,52.94.233.131,,2155,value
20,,2019-10-12T14:58:19.321+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/?cb=1570881497337&p=%7B%22program%22%3A%221%22%2C%22tag%22%3A%22wsirn-20%22%2C%22linkCode%22%3A%22ez%22%2C%22refUrl%22%3A%22https%3A%2F%2Fwww.whatshouldireadnext.com%2F%22%2C%22panda%22%3Atrue%7D,HTTP/1.1,713,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,0,1,1889,95,0,1858,172,52.94.233.131,,2158,value
21,,2019-10-12T14:58:19.493+03:00,GET,https://ir-na.amazon-adsystem.com/e/ir?l=ez&t=wsirn-20&o=1&cb=1570881497337,HTTP/1.1,536,0,,200,,HTTP/1.1,0,image/gif,,,126,42,,,0,3,2052,94,0,2022,177,52.94.229.212,,2329,value
22,,2019-10-12T14:58:21.368+03:00,GET,https://images-na.ssl-images-amazon.com//images/G/01/rcm/468x60.gif,HTTP/1.1,528,0,,200,OK,HTTP/1.1,0,image/gif,,,604,7079,,,0,11,4007,30,0,3976,107,13.226.4.34,,4157,
