,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-09-28T19:34:19.906+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,95,-1,2,-1,183,-1,-1,157.240.1.23,,281,value,
11,facebook,2019-09-28T19:34:20.181+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,96,0,0,164,202,268,0,157.240.1.23,,568,,
12,facebook,2019-09-28T19:34:20.185+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,97,0,0,167,0,270,0,157.240.1.23,,369,,
13,facebook,2019-09-28T19:34:20.334+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/FCL54XJbMl1.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,98852,,,90,-1,0,-1,472,-1,-1,157.240.1.23,,563,,
14,facebook,2019-09-28T19:34:20.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/4VKqg5G-mwJ.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14156,,,88,-1,0,-1,9,-1,-1,157.240.1.23,,98,,
15,facebook,2019-09-28T19:34:20.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/8qvpTissqcf.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1506,,,89,0,0,107,1,203,0,157.240.1.23,,295,,
16,facebook,2019-09-28T19:34:20.559+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/kXi20P20rol.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17241,,,91,0,0,94,125,188,0,157.240.1.23,,406,,
17,facebook,2019-09-28T19:34:20.731+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,95,-1,0,-1,290,-1,-1,157.240.1.23,,386,value,
18,facebook,2019-09-28T19:34:21.296+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,91,-1,0,-1,13,-1,-1,157.240.1.23,,106,value,
19,facebook,2019-09-28T19:34:21.296+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,89,-1,0,-1,49,-1,-1,157.240.1.23,,139,value,
20,facebook,2019-09-28T19:34:21.297+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,94,-1,0,-1,90,-1,-1,157.240.1.23,,185,value,
21,facebook,2019-09-28T19:34:21.297+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,98,-1,0,-1,101,-1,-1,157.240.1.23,,200,value,
22,facebook,2019-09-28T19:34:21.298+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,100,-1,0,-1,4,-1,-1,157.240.1.23,,105,value,
23,facebook,2019-09-28T19:34:21.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,95,-1,0,-1,8,-1,-1,157.240.1.23,,104,value,
24,facebook,2019-09-28T19:34:21.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,102,-1,0,-1,203,-1,-1,157.240.1.23,,307,value,
25,facebook,2019-09-28T19:34:21.441+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,91,-1,0,-1,3,-1,-1,157.240.1.23,,95,value,
26,facebook,2019-09-28T19:34:21.455+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,104,-1,0,-1,1,-1,-1,157.240.1.35,,106,,
27,facebook,2019-09-28T19:34:21.486+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,89,-1,0,-1,3,-1,-1,157.240.1.23,,93,value,
28,facebook,2019-09-28T19:34:21.503+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,88,-1,0,-1,218,-1,-1,157.240.1.23,,308,value,
29,facebook,2019-09-28T19:34:21.526+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,115,-1,0,-1,5,-1,-1,157.240.1.23,,121,value,
30,facebook,2019-09-28T19:34:21.540+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,103,-1,0,-1,21,-1,-1,157.240.1.23,,125,value,
31,facebook,2019-09-28T19:34:21.566+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,106,-1,0,-1,5,-1,-1,157.240.1.35,,112,,
32,facebook,2019-09-28T19:34:21.583+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,89,-1,0,-1,5,-1,-1,157.240.1.23,,95,value,
33,facebook,2019-09-28T19:34:21.654+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,92,-1,0,-1,9,-1,-1,157.240.1.23,,103,value,
34,facebook,2019-09-28T19:34:21.670+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,100,-1,0,-1,1,-1,-1,157.240.1.23,,103,value,
35,facebook,2019-09-28T19:34:21.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,89,-1,0,-1,0,-1,-1,157.240.1.23,,90,,
36,facebook,2019-09-28T19:34:24.766+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43122,,,192,16,1,3054,192,3144,0,157.240.1.35,,3547,value,
37,facebook,2019-09-28T19:34:24.868+03:00,GET,https://cx.atdmt.com/?f=AYxFV9-P0_wMzreN6mA--NDX6n4I99LMrNc65ldHFegTMldS0uPO50dJaWGuJylHVwrVQp7tKdjlhhzn1hRBrZhM&c=1062175593&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,131,15,0,3041,0,3133,0,157.240.1.6,,3282,value,
38,facebook,2019-09-28T19:34:24.994+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,95,-1,0,-1,117,-1,-1,157.240.1.23,,214,value,
39,facebook,2019-09-28T19:34:24.995+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,91,-1,0,-1,3,-1,-1,157.240.1.23,,95,value,
40,facebook,2019-09-28T19:34:24.997+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,96,-1,0,-1,128,-1,-1,157.240.1.23,,226,value,
41,facebook,2019-09-28T19:34:24.997+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,99,-1,0,-1,209,-1,-1,157.240.1.23,,309,value,
42,facebook,2019-09-28T19:34:25.292+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31403,,,88,-1,1,-1,144,-1,-1,157.240.1.23,,234,value,
43,facebook,2019-09-28T19:34:25.478+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,106,18,1,5109,1,5203,0,157.240.1.35,,5331,,
44,facebook,2019-09-28T19:34:26.297+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,81,0,0,1230,4,1298,0,172.217.16.196,,1386,,
45,facebook,2019-09-28T19:34:26.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,89,-1,0,-1,473,-1,-1,157.240.1.23,,563,value,
46,facebook,2019-09-28T19:34:26.567+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,94,-1,0,-1,14,-1,-1,157.240.1.23,,109,value,
47,facebook,2019-09-28T19:34:26.568+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,97,-1,0,-1,100,-1,-1,157.240.1.23,,198,value,
48,facebook,2019-09-28T19:34:26.569+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,99,-1,0,-1,1,-1,-1,157.240.1.23,,102,value,
49,facebook,2019-09-28T19:34:28.200+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,65,0,0,1694,271,1761,0,216.58.210.3,,2099,,
50,facebook,2019-09-28T19:34:28.571+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=imy5qshez41d,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9533,,,90,-1,0,-1,16,-1,-1,172.217.16.196,,107,value,
51,facebook,2019-09-28T19:34:28.686+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,67,-1,1,-1,206,-1,-1,216.58.210.3,,274,,
52,facebook,2019-09-28T19:34:28.954+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,81,0,1,189,317,264,0,216.58.210.3,,665,,
53,facebook,2019-09-28T19:34:29.396+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,66,-1,0,-1,13,-1,-1,172.217.16.196,,81,,
54,facebook,2019-09-28T19:34:29.479+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,76,-1,0,-1,1,-1,-1,172.217.16.196,,78,value,
55,facebook,2019-09-28T19:34:29.544+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ne540pnztfk3,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,80,0,0,70,1,143,0,172.217.16.196,,225,value,
56,facebook,2019-09-28T19:34:29.757+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,-1,,,66,-1,0,-1,0,-1,-1,216.58.210.3,,66,,
57,facebook,2019-09-28T19:34:29.804+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=cma7c6%3Ae70lts%3Agiix3a&__hsi=6741765025556094581-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569689489,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,157.240.1.35,,0,value,No response received
