,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
14,facebook,2019-10-11T17:52:50.597+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,160,-1,0,-1,-1,122,31.13.92.14,,283,value,
15,facebook,2019-10-11T17:52:50.630+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,48,199,2,0,164,102,31.13.92.14,,353,,
16,facebook,2019-10-11T17:52:50.630+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,0,5,193,0,0,159,95,31.13.92.14,,296,,
17,facebook,2019-10-11T17:52:51.018+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,6,-1,0,-1,-1,105,31.13.92.14,,112,value,
18,facebook,2019-10-11T17:52:51.020+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,70,-1,0,-1,-1,116,31.13.92.14,,187,value,
19,facebook,2019-10-11T17:52:51.020+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,8,-1,0,-1,-1,112,31.13.92.14,,121,value,
20,facebook,2019-10-11T17:52:51.020+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,9,-1,0,-1,-1,99,31.13.92.14,,109,value,
21,facebook,2019-10-11T17:52:51.023+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,3,-1,0,-1,-1,112,31.13.92.14,,116,value,
22,facebook,2019-10-11T17:52:51.134+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,62,-1,0,-1,-1,87,31.13.92.14,,151,value,
23,facebook,2019-10-11T17:52:51.138+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,-1,4,-1,0,-1,-1,89,31.13.92.14,,94,value,
24,facebook,2019-10-11T17:52:51.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,3,-1,0,-1,-1,90,31.13.92.14,,94,value,
25,facebook,2019-10-11T17:52:51.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,3,-1,0,-1,-1,88,31.13.92.14,,92,value,
26,facebook,2019-10-11T17:52:51.160+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,0,-1,-1,189,31.13.92.36,,190,,
27,facebook,2019-10-11T17:52:51.211+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,6,-1,0,-1,-1,91,31.13.92.14,,98,value,
28,facebook,2019-10-11T17:52:51.235+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,4,-1,0,-1,-1,91,31.13.92.14,,97,value,
29,facebook,2019-10-11T17:52:51.320+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,-1,-1,88,31.13.92.14,,89,,
30,facebook,2019-10-11T17:52:52.444+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,31,-1,0,-1,-1,98,31.13.92.14,,130,value,
31,facebook,2019-10-11T17:52:52.495+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2084,0,20,2051,186,31.13.92.36,,2293,,
32,facebook,2019-10-11T17:52:52.674+03:00,GET,https://cx.atdmt.com/?f=AYwWC9q-Mx1wJJLFyQVjydJC7zoS7JMWlqRNPRun-OOg-jU1SgFBJelG5nEuLMYeG9wP_Z_VCJtaSAdaRDYN1GgN&c=571754180&v=1&l=2,HTTP/1.1,509,0,,0,,unknown,0,,,,-1,-1,,,0,0,1283,0,24,1250,0,31.13.92.2,,1308,value,No response received
