,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,response._error
20,facebook,2019-10-04T10:31:33.548+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iQHc4/yz/l/he_IL/fQzHO0VmqkV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,22813,,,-1,613,1,-1,-1,592,-1,157.240.1.23,,1207,
21,facebook,2019-10-04T10:31:33.548+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,-1,434,0,-1,-1,181,-1,157.240.1.23,,616,
22,facebook,2019-10-04T10:31:33.552+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,-1,666,0,-1,-1,149,-1,157.240.1.23,,817,
23,facebook,2019-10-04T10:31:33.696+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ig0Z4/yY/l/he_IL/ZuLyjnQx8JA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,233504,,,-1,668,0,-1,-1,2280,-1,157.240.1.23,,2949,
24,facebook,2019-10-04T10:31:33.776+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,-1,702,0,-1,-1,190,-1,157.240.1.23,,893,
25,facebook,2019-10-04T10:31:33.800+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1093,55,,,-1,417,0,-1,-1,0,-1,157.240.1.35,,418,
26,facebook,2019-10-04T10:31:33.979+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12193,,,-1,689,0,-1,-1,62,-1,157.240.1.23,,752,
27,facebook,2019-10-04T10:31:34.171+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/x5pYHqT2ByM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3750,,,-1,583,0,-1,-1,1,-1,157.240.1.23,,584,
28,facebook,2019-10-04T10:31:34.227+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1093,55,,,-1,437,0,-1,-1,0,-1,157.240.1.35,,439,
29,facebook,2019-10-04T10:31:34.259+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,42983,,,-1,465,0,-1,-1,24,-1,157.240.1.35,,490,
30,facebook,2019-10-04T10:31:34.378+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/0bgtDPp8eY3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5986,,,-1,384,0,-1,-1,1,-1,157.240.1.23,,386,
31,facebook,2019-10-04T10:31:34.673+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yR/l/he_IL/2QQfkxCVQB6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45874,,,-1,160,0,-1,-1,516,-1,157.240.1.23,,677,
32,facebook,2019-10-04T10:31:34.705+03:00,GET,https://cx.atdmt.com/?f=AYySwGixnqf3rKcI1guD6Up1ndoeBCsH8I11SyY0PFb8Pi4K9VjiSIm04TXtUXIKIg4DO7G6jMcrfQLOTmbSrgio&c=1530344957&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,389,42,,,-1,220,0,-1,-1,0,-1,157.240.1.6,,221,
33,facebook,2019-10-04T10:31:34.737+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/h-GkR7hjZkA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4423,,,-1,636,0,-1,-1,15,-1,157.240.1.23,,652,
34,facebook,2019-10-04T10:31:34.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/ZexQqjnLf-h.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14509,,,-1,633,0,-1,-1,55,-1,157.240.1.23,,689,
35,facebook,2019-10-04T10:31:34.769+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,683,0,-1,-1,22,-1,157.240.1.23,,706,
36,facebook,2019-10-04T10:31:34.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/f9RT-43_Dx6.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,158,,,-1,571,0,-1,-1,1,-1,157.240.1.23,,573,
37,facebook,2019-10-04T10:31:34.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yx/l/0,cross/z4z3a54p-s_.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36643,,,-1,579,0,-1,-1,821,-1,157.240.1.23,,1401,
38,facebook,2019-10-04T10:31:34.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/ovYa_VLUwxs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41073,,,-1,692,0,-1,-1,535,-1,157.240.1.23,,1229,
39,facebook,2019-10-04T10:31:35.529+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,110,0,-1,-1,299,-1,172.217.22.67,,411,
40,facebook,2019-10-04T10:31:35.545+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,771,0,-1,-1,0,-1,157.240.1.23,,772,
41,facebook,2019-10-04T10:31:36.463+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,264,0,-1,-1,42,-1,157.240.1.23,,307,
42,facebook,2019-10-04T10:31:36.463+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yo/l/he_IL/cyjvKA6UCDn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344995,,,-1,306,0,-1,-1,2319,-1,157.240.1.23,,2626,
43,facebook,2019-10-04T10:31:36.463+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iQHc4/yW/l/he_IL/m-GTBAlVqAU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,22677,,,-1,422,0,-1,-1,69,-1,157.240.1.23,,491,
44,facebook,2019-10-04T10:31:36.489+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=s63na0ipuppr,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9644,,,-1,345,0,-1,-1,8,-1,216.58.205.228,,354,
45,facebook,2019-10-04T10:31:36.876+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,171,0,-1,-1,267,-1,172.217.22.67,,439,
46,facebook,2019-10-04T10:31:37.323+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,219,0,-1,-1,137,-1,172.217.22.67,,357,
47,facebook,2019-10-04T10:31:37.735+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5306,,,-1,485,0,-1,-1,5,-1,216.58.205.228,,492,
48,facebook,2019-10-04T10:31:38.230+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=38l2a4eh5932,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,215,0,-1,-1,1,-1,172.217.21.228,,217,
49,facebook,2019-10-04T10:31:38.462+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,220,0,-1,-1,2,-1,172.217.21.228,,223,
50,facebook,2019-10-04T10:31:39.494+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,300,0,-1,-1,456,-1,172.217.22.67,,757,
51,facebook,2019-10-04T10:31:39.698+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,411,499,0,10,0,437,529,172.217.22.67,,1479,
52,facebook,2019-10-04T10:31:40.757+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001252656&__s=0ymgqy%3Aml9bb7%3Avrsre8&__hsi=6743851675078414792-0&__spin_r=1001252656&__spin_b=trunk&__spin_t=1570175326,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,157.240.1.35,,0,No response received
