,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
28,facebook,2019-10-08T18:27:14.439+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,124,-1,0,79,-1,-1,31.13.92.14,,204,value
29,facebook,2019-10-08T18:27:14.441+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,-1,119,-1,0,82,-1,-1,31.13.92.14,,202,value
30,facebook,2019-10-08T18:27:14.442+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,119,-1,0,1,-1,-1,31.13.92.14,,121,value
31,facebook,2019-10-08T18:27:14.450+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,97,-1,0,13,-1,-1,31.13.92.14,,111,value
32,facebook,2019-10-08T18:27:14.462+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,137,-1,0,0,-1,-1,157.240.1.35,,138,
33,facebook,2019-10-08T18:27:14.524+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,110,-1,0,2,-1,-1,31.13.92.14,,113,value
34,facebook,2019-10-08T18:27:14.612+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,134,-1,0,0,-1,-1,157.240.1.35,,135,
35,facebook,2019-10-08T18:27:14.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,116,-1,0,0,-1,-1,31.13.92.14,,117,
36,facebook,2019-10-08T18:27:16.346+03:00,GET,https://cx.atdmt.com/?f=AYzgWkwLTtH9zwA9rTY_MSn4tuJlopBvrq3jYqRSCHuXtSK3f-nw0oeDDTg5k14cj4pLE6GRpUA7ZVvb8n3VE6al&c=447467029&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,33,138,1396,0,0,1432,0,31.13.92.2,,1604,value
37,facebook,2019-10-08T18:27:19.173+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44052,,,65,224,4200,0,118,4228,0,157.240.1.35,,4638,value
38,facebook,2019-10-08T18:27:19.439+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,89,-1,1,0,-1,-1,31.13.92.14,,90,value
39,facebook,2019-10-08T18:27:19.440+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,116,-1,1,8,-1,-1,31.13.92.14,,127,value
40,facebook,2019-10-08T18:27:19.442+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,115,-1,0,80,-1,-1,31.13.92.14,,197,value
41,facebook,2019-10-08T18:27:19.442+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,99,-1,0,64,-1,-1,31.13.92.14,,165,value
42,facebook,2019-10-08T18:27:20.511+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,124,1042,0,4,1069,0,172.217.18.4,,1200,
43,facebook,2019-10-08T18:27:20.756+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,96,-1,0,9,-1,-1,31.13.92.14,,106,value
44,facebook,2019-10-08T18:27:20.757+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,99,-1,0,0,-1,-1,31.13.92.14,,101,value
45,facebook,2019-10-08T18:27:20.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,100,-1,0,18,-1,-1,31.13.92.14,,118,value
46,facebook,2019-10-08T18:27:20.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,96,-1,0,139,-1,-1,31.13.92.14,,237,value
47,facebook,2019-10-08T18:27:20.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,98,122,1,183,154,0,31.13.92.14,,438,value
48,facebook,2019-10-08T18:27:20.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,0,104,122,0,216,168,0,31.13.92.14,,489,value
49,facebook,2019-10-08T18:27:20.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,89,-1,0,15,-1,-1,31.13.92.14,,105,value
50,facebook,2019-10-08T18:27:21.861+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,1,100,1159,0,132,1189,0,172.217.22.35,,1424,
51,facebook,2019-10-08T18:27:22.129+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=af503x8vkjd7,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9684,,,-1,134,-1,0,26,-1,-1,172.217.18.4,,161,value
52,facebook,2019-10-08T18:27:22.277+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,83,-1,0,42,-1,-1,172.217.22.35,,126,
53,facebook,2019-10-08T18:27:22.407+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,83,-1,0,66,-1,-1,172.217.22.35,,150,
54,facebook,2019-10-08T18:27:22.585+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,99,-1,0,8,-1,-1,172.217.18.4,,109,
55,facebook,2019-10-08T18:27:22.703+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=4g8sb3mzllko,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,-1,91,-1,0,1,-1,-1,172.217.18.4,,93,value
56,facebook,2019-10-08T18:27:22.742+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,102,110,0,0,153,0,172.217.18.4,,257,value
57,facebook,2019-10-08T18:27:22.808+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,91,-1,0,33,-1,-1,172.217.22.35,,124,
58,facebook,2019-10-08T18:27:22.861+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,0,85,111,0,0,141,0,172.217.22.35,,228,
59,facebook,2019-10-08T18:27:22.886+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2852,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,112,-1,1,0,-1,-1,157.240.1.35,,114,
