,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
32,facebook,2019-10-08T18:23:57.678+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,15,-1,-1,-1,0,96,-1,31.13.92.14,,112,value,
33,facebook,2019-10-08T18:23:57.702+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,0,133,-1,31.13.92.36,,134,,
34,facebook,2019-10-08T18:23:57.844+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,0,129,-1,31.13.92.36,,131,,
35,facebook,2019-10-08T18:23:57.882+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,-1,0,102,-1,31.13.92.14,,103,,
36,facebook,2019-10-08T18:23:59.855+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44049,,,125,0,1761,1730,0,221,0,31.13.92.36,,2110,value,
37,facebook,2019-10-08T18:24:00.095+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,-1,0,106,-1,31.13.92.14,,107,value,
38,facebook,2019-10-08T18:24:00.096+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,72,-1,-1,-1,0,97,-1,31.13.92.14,,170,value,
39,facebook,2019-10-08T18:24:00.098+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,61,-1,-1,-1,0,104,-1,31.13.92.14,,166,value,
40,facebook,2019-10-08T18:24:02.537+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,6,-1,-1,-1,0,117,-1,31.13.92.14,,125,value,
41,facebook,2019-10-08T18:24:02.586+03:00,GET,https://cx.atdmt.com/?f=AYyo1ZxW44msezwS4VxLSMhdkwCjVXbyGG4M3EjsqYvDbrQNIncATr-8t7hkF1MOb2Xln5A-gFsceUWPar4f_b6S&c=1884750730&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,4458,4421,0,117,30,31.13.92.2,,4608,value,
42,facebook,2019-10-08T18:24:02.641+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,0,2543,2505,0,89,0,172.217.18.4,,2635,,
43,facebook,2019-10-08T18:24:02.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,21,-1,-1,-1,0,92,-1,31.13.92.14,,114,value,
