,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
10,facebook,2019-10-08T17:43:44.726+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,123,231,0,0,97,193,0,31.13.92.14,,453,
11,facebook,2019-10-08T17:43:44.731+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,212,0,0,92,185,0,31.13.92.14,,307,
12,facebook,2019-10-08T17:43:44.830+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,138,-1,-1,-1,89,-1,0,31.13.92.14,,228,
13,facebook,2019-10-08T17:43:44.931+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,7,145,0,0,102,119,1,31.13.92.14,,256,
14,facebook,2019-10-08T17:43:44.935+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,151,0,0,102,124,0,31.13.92.14,,255,
15,facebook,2019-10-08T17:43:44.951+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,6,-1,-1,-1,97,-1,0,31.13.92.14,,104,
16,facebook,2019-10-08T17:43:45.148+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,15,-1,-1,-1,86,-1,0,31.13.92.14,,102,value
17,facebook,2019-10-08T17:43:45.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,106,-1,-1,-1,90,-1,0,31.13.92.14,,196,value
18,facebook,2019-10-08T17:43:45.151+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,104,-1,-1,-1,94,-1,0,31.13.92.14,,199,value
19,facebook,2019-10-08T17:43:46.202+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,127,-1,-1,-1,100,-1,0,31.13.92.14,,229,value
20,facebook,2019-10-08T17:43:46.250+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,1508,0,26,124,1488,0,31.13.92.36,,1661,
21,facebook,2019-10-08T17:43:46.499+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,5,-1,-1,-1,126,-1,0,31.13.92.14,,133,value
22,facebook,2019-10-08T17:43:46.500+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,79,-1,-1,-1,97,-1,0,31.13.92.14,,178,value
23,facebook,2019-10-08T17:43:46.501+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,1,-1,-1,-1,136,-1,0,31.13.92.14,,138,value
24,facebook,2019-10-08T17:43:46.501+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,12,-1,-1,-1,105,-1,0,31.13.92.14,,118,value
25,facebook,2019-10-08T17:43:46.502+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,97,-1,-1,-1,113,-1,0,31.13.92.14,,211,value
26,facebook,2019-10-08T17:43:46.502+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,16,-1,-1,-1,116,-1,0,31.13.92.14,,134,value
27,facebook,2019-10-08T17:43:46.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,83,-1,-1,-1,95,-1,0,31.13.92.14,,180,value
28,facebook,2019-10-08T17:43:46.665+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,76,-1,-1,-1,96,-1,0,31.13.92.14,,173,value
29,facebook,2019-10-08T17:43:46.665+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,92,-1,-1,-1,107,-1,0,31.13.92.14,,200,value
30,facebook,2019-10-08T17:43:46.666+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,5,-1,-1,-1,98,-1,0,31.13.92.14,,104,value
31,facebook,2019-10-08T17:43:46.683+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,7,-1,-1,-1,104,-1,0,31.13.92.14,,111,value
32,facebook,2019-10-08T17:43:46.696+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,134,-1,0,31.13.92.36,,136,
33,facebook,2019-10-08T17:43:46.718+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,4,-1,-1,-1,94,-1,0,31.13.92.14,,100,value
34,facebook,2019-10-08T17:43:46.869+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,133,-1,0,31.13.92.36,,134,
35,facebook,2019-10-08T17:43:46.955+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,-1,94,-1,0,31.13.92.14,,95,
36,facebook,2019-10-08T17:43:47.965+03:00,GET,https://cx.atdmt.com/?f=AYxYPJhMKSjZg6SKqmnEK1TxG535bjQPWsrW-uUpdUWIHzsCG-UD-ctzeFxceZnvdwPwRzRk7QZxLFGQUNBQ0G5p&c=92440668&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,791,0,33,125,707,0,31.13.92.2,,952,value
37,facebook,2019-10-08T17:43:49.598+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44048,,,118,2439,0,22,215,2419,0,31.13.92.36,,2797,value
38,facebook,2019-10-08T17:43:49.852+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,0,-1,-1,-1,109,-1,0,31.13.92.14,,111,value
39,facebook,2019-10-08T17:43:49.853+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,78,-1,-1,-1,83,-1,0,31.13.92.14,,162,value
40,facebook,2019-10-08T17:43:49.853+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,111,-1,-1,-1,91,-1,0,31.13.92.14,,203,value
41,facebook,2019-10-08T17:43:49.882+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,-1,90,-1,1,31.13.92.14,,92,value
42,facebook,2019-10-08T17:43:51.128+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,5,1248,0,27,103,1214,0,172.217.18.4,,1385,
43,facebook,2019-10-08T17:43:51.355+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,15,-1,-1,-1,98,-1,0,31.13.92.14,,114,value
44,facebook,2019-10-08T17:43:51.355+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,3,-1,-1,-1,85,-1,0,31.13.92.14,,89,value
45,facebook,2019-10-08T17:43:51.358+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,21,-1,-1,-1,115,-1,0,31.13.92.14,,137,value
46,facebook,2019-10-08T17:43:51.359+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,53,-1,-1,-1,107,-1,0,31.13.92.14,,161,value
47,facebook,2019-10-08T17:43:51.359+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,161,145,0,0,100,116,1,31.13.92.14,,409,value
48,facebook,2019-10-08T17:43:51.359+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,191,156,0,0,119,127,0,31.13.92.14,,468,value
49,facebook,2019-10-08T17:43:51.453+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,23,-1,-1,-1,89,-1,1,31.13.92.14,,114,value
50,facebook,2019-10-08T17:43:53.699+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,139,2403,0,26,86,2372,0,172.217.22.35,,2656,
51,facebook,2019-10-08T17:43:53.949+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=or9rbv22wre,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10128,,,20,-1,-1,-1,142,-1,0,172.217.18.4,,163,value
52,facebook,2019-10-08T17:43:54.142+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,56,-1,-1,-1,94,-1,0,172.217.22.35,,151,
53,facebook,2019-10-08T17:43:54.292+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,164,147,0,0,80,112,0,172.217.22.35,,393,
54,facebook,2019-10-08T17:43:54.562+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,13,-1,-1,-1,81,-1,0,172.217.18.4,,95,
55,facebook,2019-10-08T17:43:54.659+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=5m16inv0xchf,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,1,-1,-1,-1,100,-1,0,172.217.18.4,,102,value
56,facebook,2019-10-08T17:43:54.699+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,1,133,0,0,105,111,0,172.217.18.4,,241,value
57,facebook,2019-10-08T17:43:54.824+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=jm8umx%3Avazzo2%3A1vbqlt&__hsi=6745447381024331009-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570546855,HTTP/1.1,827,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1241,,,0,-1,-1,-1,131,-1,0,31.13.92.36,,132,value
58,facebook,2019-10-08T17:43:54.830+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,66,-1,-1,-1,79,-1,0,172.217.22.35,,146,
