,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
32,facebook,2019-10-12T16:16:40.169+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yG/l/he_IL/ODcLV4MNLuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45898,,,-1,71,-1,-1,0,128,-1,31.13.92.14,,200,value,
33,facebook,2019-10-12T16:16:40.238+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/yo1HtzrwOlu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5319,,,-1,4,-1,-1,0,99,-1,31.13.92.14,,104,value,
34,facebook,2019-10-12T16:16:40.247+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,3,-1,-1,0,100,-1,31.13.92.14,,104,value,
35,facebook,2019-10-12T16:16:40.263+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,-1,36,-1,-1,0,100,-1,31.13.92.14,,137,value,
36,facebook,2019-10-12T16:16:40.279+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,0,156,-1,31.13.92.36,,158,,
37,facebook,2019-10-12T16:16:40.310+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,-1,2,-1,-1,0,95,-1,31.13.92.14,,98,value,
38,facebook,2019-10-12T16:16:40.523+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,-1,0,126,-1,31.13.92.14,,126,,
39,facebook,2019-10-12T16:16:43.399+03:00,GET,https://cx.atdmt.com/?f=AYzM6zLKQ731cPNX13avcUS32erhP2booTbRq5Wt8tkZEdKT8hKyF4p1zCy8N-4QbURU_d2RTdTog3HpK-XVEAKE&c=1047948724&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,2811,0,0,25,0,142,2775,31.13.92.2,,2980,value,
40,facebook,2019-10-12T16:16:45.254+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44520,,,4694,147,0,0,0,201,4668,31.13.92.36,,5045,value,
41,facebook,2019-10-12T16:16:45.475+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,76,-1,-1,0,118,-1,31.13.92.14,,195,value,
