,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
19,facebook,2019-10-08T16:07:39.044+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yD/l/he_IL/ETjJqKfg52T.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17157,,,-1,-1,32,-1,-1,105,0,31.13.92.14,,139,value,
20,facebook,2019-10-08T16:07:39.044+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yl/l/he_IL/ci8wWek9DRP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26739,,,-1,-1,41,-1,-1,108,0,31.13.92.14,,150,value,
21,facebook,2019-10-08T16:07:39.045+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yj/l/he_IL/34_P0AKMhic.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21732,,,-1,-1,36,-1,-1,107,0,31.13.92.14,,145,value,
22,facebook,2019-10-08T16:07:39.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,-1,6,-1,-1,94,0,31.13.92.14,,101,value,
23,facebook,2019-10-08T16:07:39.085+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,840,0,0,804,0,127,0,31.13.92.36,,969,,
24,facebook,2019-10-08T16:07:39.144+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yr/l/he_IL/uqj766QyrnO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10642,,,-1,-1,6,-1,-1,93,0,31.13.92.14,,100,value,
25,facebook,2019-10-08T16:07:39.144+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,-1,0,-1,-1,91,0,31.13.92.14,,92,value,
26,facebook,2019-10-08T16:07:39.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/eMEQvQ55jTb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12193,,,-1,-1,13,-1,-1,97,0,31.13.92.14,,111,value,
27,facebook,2019-10-08T16:07:39.189+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/y7/l/he_IL/xp2pFQ4-vvd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11739,,,-1,-1,4,-1,-1,100,0,31.13.92.14,,106,value,
28,facebook,2019-10-08T16:07:39.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/x5pYHqT2ByM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3750,,,-1,-1,1,-1,-1,92,0,31.13.92.14,,94,value,
29,facebook,2019-10-08T16:07:39.201+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yR/l/he_IL/2QQfkxCVQB6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45874,,,-1,-1,60,-1,-1,90,0,31.13.92.14,,151,value,
30,facebook,2019-10-08T16:07:39.204+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,126,0,31.13.92.36,,128,,
31,facebook,2019-10-08T16:07:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/h-GkR7hjZkA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4423,,,-1,-1,0,-1,-1,100,0,31.13.92.14,,101,value,
32,facebook,2019-10-08T16:07:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/ZexQqjnLf-h.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14509,,,-1,-1,8,-1,-1,94,0,31.13.92.14,,103,value,
33,facebook,2019-10-08T16:07:39.300+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,1,-1,-1,96,0,31.13.92.14,,98,value,
34,facebook,2019-10-08T16:07:39.336+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,124,0,31.13.92.36,,125,,
35,facebook,2019-10-08T16:07:39.414+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,-1,92,0,31.13.92.14,,94,,
36,facebook,2019-10-08T16:07:40.825+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43540,,,1313,0,114,1289,0,225,0,31.13.92.36,,1654,value,
37,facebook,2019-10-08T16:07:41.071+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,-1,85,-1,-1,91,0,31.13.92.14,,178,value,
38,facebook,2019-10-08T16:07:41.072+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,-1,18,-1,-1,95,0,31.13.92.14,,114,value,
39,facebook,2019-10-08T16:07:41.072+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,-1,-1,100,0,31.13.92.14,,101,value,
40,facebook,2019-10-08T16:07:41.919+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,-1,123,-1,-1,108,0,31.13.92.14,,232,value,
41,facebook,2019-10-08T16:07:41.976+03:00,GET,https://cx.atdmt.com/?f=AYyuBcJBLIBO1DUDIWplszwzDV9HHg3bMKdDXLI09XJ67LIp7FJZWeWRNeDR9N8PGAK9UdYBMWyDijCRxnKnp94y&c=730680697&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,2428,0,0,2400,32,126,0,31.13.92.2,,2589,value,
42,facebook,2019-10-08T16:07:42.090+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1015,0,1,978,1,93,0,172.217.18.4,,1112,,
43,facebook,2019-10-08T16:07:42.347+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,2,-1,-1,105,0,31.13.92.14,,108,value,
44,facebook,2019-10-08T16:07:42.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,-1,211,-1,-1,113,0,31.13.92.14,,325,value,
45,facebook,2019-10-08T16:07:42.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,-1,6,-1,-1,104,0,31.13.92.14,,112,value,
46,facebook,2019-10-08T16:07:45.246+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,3042,0,136,3000,0,95,0,172.217.22.35,,3275,,
47,facebook,2019-10-08T16:07:45.541+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=xaf619jy45k4,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9571,,,-1,-1,23,-1,-1,109,0,172.217.18.4,,133,value,
48,facebook,2019-10-08T16:07:45.669+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,38,-1,-1,88,0,172.217.22.35,,127,,
49,facebook,2019-10-08T16:07:45.792+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,-1,36,-1,-1,87,0,172.217.22.35,,124,,
50,facebook,2019-10-08T16:07:45.967+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,-1,2,-1,-1,95,0,172.217.18.4,,98,,
51,facebook,2019-10-08T16:07:46.069+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,-1,0,-1,-1,110,0,172.217.18.4,,111,value,
52,facebook,2019-10-08T16:07:46.119+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=lkgzixvz4lhw,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1126,,,145,0,1,111,0,92,0,172.217.18.4,,241,value,
53,facebook,2019-10-08T16:07:46.275+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,-1,-1,0,-1,-1,95,0,172.217.22.35,,96,,
54,facebook,2019-10-08T16:07:46.344+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=9ksys0%3Agiptfb%3Aed3u04&__hsi=6745422619403212303-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570541090,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,31.13.92.36,,0,value,No response received
