,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
41,facebook,2019-09-28T19:01:44.922+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,-1,0,-1,1,-1,91,157.240.1.23,,94,value,
42,facebook,2019-09-28T19:01:44.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,-1,38,-1,0,-1,96,157.240.1.23,,136,value,
43,facebook,2019-09-28T19:01:45.091+03:00,GET,https://cx.atdmt.com/?f=AYy0vz_WDEsqe3jVjY9fdE08zc6DTUqjAIFRhPckKefu4_yXUIPqVv0yXJqwoE3bOB5WaNrFoTBVA9mBGigHKGPz&c=1269353797&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,3664,0,0,3570,1,54,127,157.240.1.6,,3848,value,
44,facebook,2019-09-28T19:01:47.327+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,7723,0,1,4623,1,0,153,157.240.1.35,,7879,,
45,facebook,2019-09-28T19:01:49.290+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4845,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,-1,1,-1,195,157.240.1.35,,198,,
46,facebook,2019-09-28T19:01:50.222+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,5293,0,3,5224,0,0,76,172.217.16.196,,5375,,
47,facebook,2019-09-28T19:01:50.455+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,-1,334,-1,0,-1,99,157.240.1.23,,435,value,
48,facebook,2019-09-28T19:01:50.455+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,130,-1,0,-1,114,157.240.1.23,,245,value,
49,facebook,2019-09-28T19:01:50.457+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,12,-1,0,-1,119,157.240.1.23,,133,value,
50,facebook,2019-09-28T19:01:50.457+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,-1,105,-1,0,-1,120,157.240.1.23,,226,value,
51,facebook,2019-09-28T19:01:52.085+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,1757,0,290,1689,0,0,65,172.217.21.195,,2114,,
52,facebook,2019-09-28T19:01:52.524+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=q85rle8cc95,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9439,,,-1,-1,11,-1,0,-1,123,172.217.16.196,,136,value,
53,facebook,2019-09-28T19:01:52.669+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,-1,93,-1,0,-1,79,172.217.21.195,,174,,
54,facebook,2019-09-28T19:01:52.846+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,-1,49,-1,0,-1,66,172.217.21.195,,117,,
55,facebook,2019-09-28T19:01:53.022+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,-1,9,-1,0,-1,66,172.217.16.196,,77,,
56,facebook,2019-09-28T19:01:53.102+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,-1,1,-1,0,-1,91,172.217.16.196,,93,value,
57,facebook,2019-09-28T19:01:53.177+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=nze0gj1tc2sb,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1122,,,148,0,11,77,0,0,80,172.217.16.196,,242,value,
58,facebook,2019-09-28T19:01:53.399+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,-1,44,-1,0,-1,65,172.217.21.195,,111,,
59,facebook,2019-09-28T19:01:53.452+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=fhedxj%3Abg2l22%3Avf33uj&__hsi=6741756598905193400-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569687528,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,-1,0,157.240.1.35,,0,value,No response received
