,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-09-28T19:35:19.350+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,123,0,119,1374,0,0,1470,157.240.1.35,,1715,,
29,facebook,2019-09-28T19:35:19.364+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,0,90,-1,7,-1,-1,157.240.1.23,,97,value,
30,facebook,2019-09-28T19:35:19.364+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,0,96,-1,237,-1,-1,157.240.1.23,,334,value,
31,facebook,2019-09-28T19:35:19.399+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,0,91,-1,10,-1,-1,157.240.1.23,,102,value,
32,facebook,2019-09-28T19:35:19.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,0,95,-1,11,-1,-1,157.240.1.23,,107,value,
33,facebook,2019-09-28T19:35:19.422+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,0,105,-1,0,-1,-1,157.240.1.35,,107,,
34,facebook,2019-09-28T19:35:19.445+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,0,90,-1,6,-1,-1,157.240.1.23,,97,value,
35,facebook,2019-09-28T19:35:19.455+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,0,98,-1,10,-1,-1,157.240.1.23,,109,value,
36,facebook,2019-09-28T19:35:19.465+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,100,-1,1,-1,-1,157.240.1.23,,102,value,
37,facebook,2019-09-28T19:35:19.736+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,91,-1,0,-1,-1,157.240.1.23,,92,,
38,facebook,2019-09-28T19:35:21.696+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43125,,,0,0,183,1876,316,0,1978,157.240.1.35,,2479,value,
39,facebook,2019-09-28T19:35:21.900+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,0,90,-1,0,-1,-1,157.240.1.23,,92,value,
40,facebook,2019-09-28T19:35:21.901+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,0,1,91,96,323,0,190,157.240.1.23,,606,value,
41,facebook,2019-09-28T19:35:21.902+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,0,97,-1,212,-1,-1,157.240.1.23,,310,value,
42,facebook,2019-09-28T19:35:21.903+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,0,106,-1,9,-1,-1,157.240.1.23,,117,value,
43,facebook,2019-09-28T19:35:23.183+03:00,GET,https://cx.atdmt.com/?f=AYzZbCaONYx707E8wt95gti9YUQqhYpflX1CIBibpZtRqnbNKxXvmH6Fjsd0NKVPuQaDrE6hR4HHSodfZ6ilEfgj&c=911873217&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,17,0,132,3235,0,0,3326,157.240.1.6,,3477,value,
