,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
30,facebook,2019-10-08T20:05:44.059+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,2,-1,-1,-1,103,0,-1,31.13.92.14,,107,value,
31,facebook,2019-10-08T20:05:44.059+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,6,-1,-1,-1,100,0,-1,31.13.92.14,,107,value,
32,facebook,2019-10-08T20:05:44.084+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,1,-1,-1,-1,106,0,-1,31.13.92.14,,108,value,
33,facebook,2019-10-08T20:05:44.127+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,132,0,-1,31.13.92.36,,134,,
34,facebook,2019-10-08T20:05:44.235+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,-1,103,0,-1,31.13.92.14,,104,,
35,facebook,2019-10-08T20:05:44.274+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,134,0,-1,31.13.92.36,,135,,
36,facebook,2019-10-08T20:05:45.400+03:00,GET,https://cx.atdmt.com/?f=AYyeZpvGYa-_3c6Lx0L_HHfqH2bIeY-MJqws9hk9fPbPwNm2xIH0e5WPMYdZTvTEBuIV-b3ue_l0fGIhx9nbRRgU&c=705340708&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,857,0,33,139,0,838,31.13.92.2,,1032,value,
37,facebook,2019-10-08T20:05:45.579+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43937,,,117,1044,0,29,233,0,1018,31.13.92.36,,1425,value,
38,facebook,2019-10-08T20:05:45.851+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,-1,99,0,-1,31.13.92.14,,101,value,
39,facebook,2019-10-08T20:05:45.852+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,8,-1,-1,-1,104,0,-1,31.13.92.14,,112,value,
