,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,response._error
10,facebook,2019-09-28T18:58:23.577+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,-1,3,126,-1,-1,0,157.240.1.23,,130,
11,facebook,2019-09-28T18:58:23.583+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,-1,2,124,-1,-1,0,157.240.1.23,,126,
12,facebook,2019-09-28T18:58:23.610+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,-1,0,128,-1,-1,0,157.240.1.35,,129,
13,facebook,2019-09-28T18:58:23.623+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1414,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,165,-1,-1,0,157.240.1.35,,166,
14,facebook,2019-09-28T18:58:23.714+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,-1,268,100,-1,-1,0,157.240.1.23,,369,
15,facebook,2019-09-28T18:58:23.794+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1509,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,2,581,-1,-1,0,157.240.1.35,,584,
16,facebook,2019-09-28T18:58:24.352+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,-1,1194,202,-1,-1,0,157.240.1.23,,1397,
17,facebook,2019-09-28T18:58:25.908+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,39,93,-1,-1,0,157.240.1.23,,133,
18,facebook,2019-09-28T18:58:25.909+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,14,108,-1,-1,0,157.240.1.23,,122,
19,facebook,2019-09-28T18:58:25.914+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,-1,0,114,-1,-1,0,157.240.1.23,,116,
20,facebook,2019-09-28T18:58:25.948+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,-1,0,103,-1,-1,0,157.240.1.35,,105,
21,facebook,2019-09-28T18:58:26.060+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,-1,0,124,-1,-1,0,157.240.1.35,,125,
22,facebook,2019-09-28T18:58:26.311+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43097,,,-1,-1,290,207,-1,-1,0,157.240.1.35,,498,
23,facebook,2019-09-28T18:58:26.315+03:00,GET,https://cx.atdmt.com/?f=AYzOeDfwciE0DE2IRbyxf5xVLSP-fgIHQAo6a3RS9Bhlk94WyyYdkYd3TfRCIPzb9XzpIA34vo-c8XTwfwI-B5z3&c=566580979&v=1&l=2,HTTP/1.1,value,650,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,-1,0,122,-1,-1,0,157.240.1.6,,123,
24,facebook,2019-09-28T18:58:26.540+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,-1,24,93,-1,-1,0,157.240.1.23,,118,
25,facebook,2019-09-28T18:58:26.540+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,-1,248,118,-1,-1,0,157.240.1.23,,367,
26,facebook,2019-09-28T18:58:26.540+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,-1,17,118,-1,-1,0,157.240.1.23,,136,
27,facebook,2019-09-28T18:58:26.542+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,-1,463,120,-1,-1,0,157.240.1.23,,584,
28,facebook,2019-09-28T18:58:26.546+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,9023,0,440,69,8871,50,0,172.217.21.195,,9584,
29,facebook,2019-09-28T18:58:27.198+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,-1,391,93,-1,-1,0,157.240.1.23,,485,
30,facebook,2019-09-28T18:58:27.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,69,97,-1,-1,0,157.240.1.23,,167,
31,facebook,2019-09-28T18:58:27.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,22,97,-1,-1,0,157.240.1.23,,121,
32,facebook,2019-09-28T18:58:27.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,-1,1,102,-1,-1,0,157.240.1.23,,104,
33,facebook,2019-09-28T18:58:27.215+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=w09ok6d2ejuq,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9487,,,-1,-1,12,104,-1,-1,0,172.217.22.36,,116,
34,facebook,2019-09-28T18:58:27.433+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,-1,117,101,-1,-1,0,172.217.21.195,,220,
35,facebook,2019-09-28T18:58:27.620+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,184,0,939,74,83,0,0,172.217.21.195,,1200,
36,facebook,2019-09-28T18:58:28.688+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,-1,8,366,-1,-1,0,172.217.22.36,,376,
37,facebook,2019-09-28T18:58:29.067+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=x5ecjrabu5rs,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,-1,-1,1,87,-1,-1,0,172.217.22.36,,89,
38,facebook,2019-09-28T18:58:29.165+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,-1,1,90,-1,-1,0,172.217.22.36,,93,
39,facebook,2019-09-28T18:58:29.385+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,172.217.21.195,,0,No response received
40,facebook,2019-09-28T18:58:29.424+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=q4r0o4%3Aeihwcw%3A70eto7&__hsi=6741755769206612874-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569687335,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,-1,0,157.240.1.35,,0,No response received
