,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
43,facebook,2019-09-28T19:25:45.515+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,124,0,-1,-1,-1,508,-1,157.240.1.23,,633,
44,facebook,2019-09-28T19:25:45.515+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,141,1,-1,-1,-1,38,-1,157.240.1.23,,181,
45,facebook,2019-09-28T19:25:45.516+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,1063,1,-1,-1,-1,46,-1,157.240.1.23,,1111,
46,facebook,2019-09-28T19:25:45.517+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,544,1,-1,-1,-1,3,-1,157.240.1.23,,548,
47,facebook,2019-09-28T19:25:45.541+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=187p3ffntyfs,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9634,,,484,0,-1,-1,-1,29,-1,172.217.16.196,,514,
48,facebook,2019-09-28T19:25:46.100+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,66,0,-1,-1,-1,101,-1,172.217.22.99,,168,
49,facebook,2019-09-28T19:25:46.276+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,74,1,0,98,169,277,0,172.217.22.99,,522,
50,facebook,2019-09-28T19:25:46.700+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,67,0,-1,-1,-1,10,-1,172.217.16.196,,78,
51,facebook,2019-09-28T19:25:46.788+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,81,0,-1,-1,-1,4,-1,172.217.16.196,,87,
52,facebook,2019-09-28T19:25:47.007+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,83,1,-1,-1,-1,84,-1,172.217.22.99,,170,
53,facebook,2019-09-28T19:25:47.016+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=3xkcjl70opiq,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1124,,,105,0,-1,-1,-1,2,-1,172.217.16.196,,108,
54,facebook,2019-09-28T19:25:47.365+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,71,0,-1,-1,-1,58,-1,172.217.22.99,,131,
55,facebook,2019-09-28T19:25:47.577+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=3gcwyw%3A1thlun%3Aquk6kt&__hsi=6741762778532639717-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688967,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,157.240.1.35,,0,No response received
