,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,response._error
25,facebook,2019-09-28T19:11:13.093+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,-1,-1,20,0,-1,103,-1,157.240.1.23,,124,
26,facebook,2019-09-28T19:11:13.094+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,119,0,-1,97,-1,157.240.1.23,,217,
27,facebook,2019-09-28T19:11:13.096+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,-1,140,0,-1,114,-1,157.240.1.23,,255,
28,facebook,2019-09-28T19:11:13.097+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,145,0,-1,115,-1,157.240.1.23,,262,
29,facebook,2019-09-28T19:11:13.097+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,-1,130,0,-1,132,-1,157.240.1.23,,263,
30,facebook,2019-09-28T19:11:13.098+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,-1,3,0,-1,148,-1,157.240.1.23,,152,
31,facebook,2019-09-28T19:11:13.233+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,-1,5,0,-1,125,-1,157.240.1.23,,131,
32,facebook,2019-09-28T19:11:13.255+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,-1,252,0,-1,103,-1,157.240.1.23,,356,
33,facebook,2019-09-28T19:11:13.264+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,645,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,-1,0,0,-1,169,-1,157.240.1.35,,170,
34,facebook,2019-09-28T19:11:13.314+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,-1,2,0,-1,113,-1,157.240.1.23,,117,
35,facebook,2019-09-28T19:11:13.355+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,-1,3,0,-1,87,-1,157.240.1.23,,91,
36,facebook,2019-09-28T19:11:13.368+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,-1,169,0,-1,201,-1,157.240.1.23,,372,
37,facebook,2019-09-28T19:11:13.368+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,-1,21,0,-1,216,-1,157.240.1.23,,239,
38,facebook,2019-09-28T19:11:13.369+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,-1,32,0,-1,206,-1,157.240.1.23,,238,
39,facebook,2019-09-28T19:11:13.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,-1,2,0,-1,169,-1,157.240.1.23,,172,
40,facebook,2019-09-28T19:11:13.439+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,645,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,-1,0,0,-1,201,-1,157.240.1.35,,203,
41,facebook,2019-09-28T19:11:13.447+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,-1,19,0,-1,159,-1,157.240.1.23,,178,
42,facebook,2019-09-28T19:11:13.616+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,1,0,-1,122,-1,157.240.1.23,,124,
43,facebook,2019-09-28T19:11:13.760+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,1,0,-1,113,-1,157.240.1.23,,115,
44,facebook,2019-09-28T19:11:15.313+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43118,,,1505,0,583,0,1401,207,24,157.240.1.35,,2322,
45,facebook,2019-09-28T19:11:15.541+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,-1,0,0,-1,127,-1,157.240.1.23,,128,
46,facebook,2019-09-28T19:11:15.544+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,-1,242,0,-1,125,-1,157.240.1.23,,368,
47,facebook,2019-09-28T19:11:15.681+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,-1,101,0,-1,131,-1,157.240.1.23,,234,
48,facebook,2019-09-28T19:11:15.917+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,-1,194,0,-1,91,-1,157.240.1.23,,286,
49,facebook,2019-09-28T19:11:17.580+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,1998,0,3,0,1905,88,38,216.58.205.228,,2131,
50,facebook,2019-09-28T19:11:17.823+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,-1,536,0,-1,93,-1,157.240.1.23,,631,
51,facebook,2019-09-28T19:11:17.826+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,-1,112,1,-1,108,-1,157.240.1.23,,222,
52,facebook,2019-09-28T19:11:17.826+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,749,0,101,0,596,103,39,157.240.1.23,,996,
53,facebook,2019-09-28T19:11:17.828+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,750,0,2,0,598,116,35,157.240.1.23,,905,
54,facebook,2019-09-28T19:11:18.326+03:00,GET,https://cx.atdmt.com/?f=AYxzCiFy_OcALexZCvS3fPAZwj1CtJwVfIZAB1kAKfPXzZDqN7Au_n0yaJ2KmmSHjNNeSK_leQEwrUh8N0pg9fIZ&c=317197690&v=1&l=2,HTTP/1.1,value,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,4445,0,0,0,4356,136,21,157.240.1.6,,4604,
55,facebook,2019-09-28T19:11:19.680+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,1965,0,1193,0,1887,398,20,172.217.21.195,,3579,
