,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-11T14:42:32.769+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,96,0,0,197,219,69,0,157.240.1.23,,386,,
11,facebook,2019-10-11T14:42:32.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,92,0,0,202,224,1,0,157.240.1.23,,319,,
12,facebook,2019-10-11T14:42:32.873+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,87,-1,0,-1,-1,144,-1,157.240.1.23,,232,,
13,facebook,2019-10-11T14:42:32.939+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,107,-1,0,-1,-1,6,-1,157.240.1.23,,114,,
14,facebook,2019-10-11T14:42:32.988+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,85,0,0,114,141,1,0,157.240.1.23,,229,,
15,facebook,2019-10-11T14:42:33.002+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,88,0,0,127,154,34,0,157.240.1.23,,278,,
16,facebook,2019-10-11T14:42:33.067+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yl/l/he_IL/oLXEoP-22nD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348779,,,115,-1,0,-1,-1,176,-1,157.240.1.23,,292,value,
17,facebook,2019-10-11T14:42:33.517+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y5/l/he_IL/oCzfxaJWeI7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17358,,,108,-1,0,-1,-1,9,-1,157.240.1.23,,118,value,
18,facebook,2019-10-11T14:42:33.518+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,102,-1,0,-1,-1,47,-1,157.240.1.23,,151,value,
19,facebook,2019-10-11T14:42:33.519+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,103,-1,0,-1,-1,15,-1,157.240.1.23,,119,value,
20,facebook,2019-10-11T14:42:33.520+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,95,-1,0,-1,-1,40,-1,157.240.1.23,,137,value,
21,facebook,2019-10-11T14:42:33.520+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,105,-1,0,-1,-1,3,-1,157.240.1.23,,109,value,
22,facebook,2019-10-11T14:42:33.642+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,88,-1,0,-1,-1,52,-1,157.240.1.23,,140,value,
23,facebook,2019-10-11T14:42:33.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,94,-1,0,-1,-1,2,-1,157.240.1.23,,97,value,
24,facebook,2019-10-11T14:42:33.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,91,-1,0,-1,-1,5,-1,157.240.1.23,,98,value,
25,facebook,2019-10-11T14:42:33.660+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,82,-1,0,-1,-1,33,-1,157.240.1.23,,116,value,
26,facebook,2019-10-11T14:42:33.675+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,91,-1,0,-1,-1,9,-1,157.240.1.23,,101,value,
27,facebook,2019-10-11T14:42:33.749+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,99,-1,0,-1,-1,4,-1,157.240.1.23,,104,value,
28,facebook,2019-10-11T14:42:33.749+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,87,-1,0,-1,-1,13,-1,157.240.1.23,,100,value,
29,facebook,2019-10-11T14:42:33.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,109,-1,0,-1,-1,0,-1,157.240.1.23,,109,,
30,facebook,2019-10-11T14:42:36.187+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,108,-1,0,-1,-1,9,-1,157.240.1.23,,118,value,
31,facebook,2019-10-11T14:42:36.230+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,128,0,0,3395,3425,1,0,31.13.92.36,,3556,,
32,facebook,2019-10-11T14:42:36.357+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,107,-1,0,-1,-1,1,-1,157.240.1.35,,110,,
33,facebook,2019-10-11T14:42:36.477+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,103,-1,2,-1,-1,2,-1,157.240.1.35,,108,,
34,facebook,2019-10-11T14:42:37.522+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43648,,,234,0,0,987,1010,137,0,31.13.92.36,,1384,value,
35,facebook,2019-10-11T14:42:37.774+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,89,-1,0,-1,-1,0,-1,157.240.1.23,,90,value,
36,facebook,2019-10-11T14:42:37.775+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,87,-1,0,-1,-1,62,-1,157.240.1.23,,150,value,
37,facebook,2019-10-11T14:42:37.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,92,-1,0,-1,-1,44,-1,157.240.1.23,,137,value,
38,facebook,2019-10-11T14:42:40.745+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,111,0,0,2944,2969,1,0,172.217.18.4,,3084,,
39,facebook,2019-10-11T14:42:40.817+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,94,-1,0,-1,-1,12,-1,157.240.1.23,,107,value,
40,facebook,2019-10-11T14:42:40.866+03:00,GET,https://cx.atdmt.com/?f=AYzCO1R1waA3dQ7ut6G2syOnDB8Qid0ZlMEYejwL5qTCpUde1ODhHhV3M5u6_upR8sqSyrm_kgcheOrRQky3HFIv&c=1612087014&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,255,59,0,4152,4183,0,0,157.240.1.6,,4499,value,
41,facebook,2019-10-11T14:42:40.976+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,88,-1,0,-1,-1,159,-1,157.240.1.23,,248,value,
42,facebook,2019-10-11T14:42:40.976+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,81,-1,0,-1,-1,32,-1,157.240.1.23,,114,value,
43,facebook,2019-10-11T14:42:40.977+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,89,-1,0,-1,-1,1,-1,157.240.1.23,,91,value,
44,facebook,2019-10-11T14:42:40.978+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,104,-1,0,-1,-1,68,-1,157.240.1.23,,173,value,
45,facebook,2019-10-11T14:42:41.960+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3074,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,144,-1,1,-1,-1,0,-1,157.240.1.35,,145,,
46,facebook,2019-10-11T14:42:43.451+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,115,0,0,2555,2581,131,0,172.217.22.67,,2829,,
47,facebook,2019-10-11T14:42:43.722+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=bxhlf0v38av3,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9496,,,120,-1,0,-1,-1,20,-1,172.217.18.4,,142,value,
48,facebook,2019-10-11T14:42:43.884+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,96,-1,0,-1,-1,53,-1,172.217.22.67,,151,,
49,facebook,2019-10-11T14:42:44.034+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,83,0,0,111,148,148,0,172.217.22.67,,381,,
50,facebook,2019-10-11T14:42:44.291+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,95,-1,0,-1,-1,4,-1,172.217.18.4,,101,,
51,facebook,2019-10-11T14:42:44.394+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=4vxogdimt3l4,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,94,-1,0,-1,-1,3,-1,172.217.18.4,,98,value,
52,facebook,2019-10-11T14:42:44.452+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,119,158,0,0,172.217.18.4,,159,value,No response received
53,facebook,2019-10-11T14:42:44.542+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283875&__s=n2hk95%3Aiwhhqz%3Alhv7jz&__hsi=6746513996487846467-0&__spin_r=1001283875&__spin_b=trunk&__spin_t=1570795196,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,157.240.1.35,,0,value,No response received
