,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,response._error
26,facebook,2019-09-28T19:27:02.876+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,0,-1,98,68,-1,-1,157.240.1.23,,168,
27,facebook,2019-09-28T19:27:02.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,0,-1,107,51,-1,-1,157.240.1.23,,160,
28,facebook,2019-09-28T19:27:02.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,0,-1,131,2,-1,-1,157.240.1.23,,134,
29,facebook,2019-09-28T19:27:09.927+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,2898,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,1,-1,115,0,-1,-1,157.240.1.35,,118,
30,facebook,2019-09-28T19:27:12.984+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,1490,1,1,67,354,10571,0,172.217.22.99,,10996,
31,facebook,2019-09-28T19:27:13.462+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=15gcftd1tf0u,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9527,,,-1,0,-1,102,16,-1,-1,216.58.205.228,,120,
32,facebook,2019-09-28T19:27:13.597+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,0,-1,372,140,-1,-1,172.217.22.99,,514,
33,facebook,2019-09-28T19:27:14.116+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,0,-1,158,58,-1,-1,172.217.22.99,,217,
34,facebook,2019-09-28T19:27:14.402+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,0,-1,94,7,-1,-1,216.58.205.228,,102,
35,facebook,2019-09-28T19:27:14.508+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,1,-1,79,2,-1,-1,216.58.205.228,,82,
36,facebook,2019-09-28T19:27:14.596+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=c68mqpt9wjs2,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1124,,,-1,0,-1,87,1,-1,-1,216.58.205.228,,89,
37,facebook,2019-09-28T19:27:14.949+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,172.217.22.99,,0,No response received
38,facebook,2019-09-28T19:27:15.017+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=b47uby%3A5tjm57%3Axfl61g&__hsi=6741763144641766576-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569689052,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,157.240.1.35,,0,No response received
