,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T17:29:42.820+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5874,,,0,-1,92,-1,2,-1,-1,31.13.92.14,,95,value,
29,facebook,2019-10-11T17:29:42.905+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,188,-1,0,-1,-1,31.13.92.36,,189,,
30,facebook,2019-10-11T17:29:43.011+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,98,-1,0,-1,-1,31.13.92.14,,99,,
31,facebook,2019-10-11T17:29:43.981+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43476,,,1,30,432,833,100,859,0,31.13.92.36,,1424,value,
32,facebook,2019-10-11T17:29:44.435+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,92,-1,0,-1,-1,31.13.92.14,,93,value,
33,facebook,2019-10-11T17:29:44.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,1,0,111,124,153,165,0,31.13.92.14,,430,value,
34,facebook,2019-10-11T17:29:44.436+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,0,-1,116,-1,13,-1,-1,31.13.92.14,,130,value,
35,facebook,2019-10-11T17:29:44.437+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,0,-1,92,-1,28,-1,-1,31.13.92.14,,121,value,
36,facebook,2019-10-11T17:29:44.509+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,0,-1,90,-1,8,-1,-1,31.13.92.14,,99,value,
37,facebook,2019-10-11T17:29:44.614+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,28,222,3676,0,3706,0,31.13.92.36,,3958,,
38,facebook,2019-10-11T17:29:44.974+03:00,GET,https://cx.atdmt.com/?f=AYw3YrPApX8sbgpWBNtZy7YAHFkpiA19ddNwbukBKFUBGsjlFnqoGbDWhaSy63V0CID9WYqY9ddkFOF5_XpUMuOI&c=1834623696&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,36,143,1795,0,1825,0,31.13.92.2,,2005,value,
39,facebook,2019-10-11T17:29:48.202+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,26,113,3713,2,3739,0,172.217.18.4,,3882,,
40,facebook,2019-10-11T17:29:48.407+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,0,-1,110,-1,160,-1,-1,31.13.92.14,,271,value,
41,facebook,2019-10-11T17:29:48.408+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,0,-1,96,-1,6,-1,-1,31.13.92.14,,103,value,
42,facebook,2019-10-11T17:29:48.408+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,0,-1,86,-1,9,-1,-1,31.13.92.14,,96,value,
43,facebook,2019-10-11T17:29:48.410+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,0,-1,104,-1,67,-1,-1,31.13.92.14,,172,value,
44,facebook,2019-10-11T17:29:50.027+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,38,105,1629,143,1657,0,172.217.22.35,,1945,,
45,facebook,2019-10-11T17:29:50.302+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=89u64ps0kofm,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9572,,,0,-1,113,-1,11,-1,-1,172.217.18.4,,125,value,
46,facebook,2019-10-11T17:29:50.433+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,0,-1,97,-1,57,-1,-1,172.217.22.35,,155,,
47,facebook,2019-10-11T17:29:50.593+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,-1,84,-1,40,-1,-1,172.217.22.35,,125,,
48,facebook,2019-10-11T17:29:50.750+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,0,-1,90,-1,11,-1,-1,172.217.18.4,,102,,
49,facebook,2019-10-11T17:29:50.856+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=9seinfrxat06,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,0,-1,95,-1,3,-1,-1,172.217.18.4,,99,value,
50,facebook,2019-10-11T17:29:50.898+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,92,111,1,143,0,172.217.18.4,,238,value,
51,facebook,2019-10-11T17:29:51.195+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283946&__s=37dche%3A651mug%3A809bfv&__hsi=6746557044104276317-0&__spin_r=1001283946&__spin_b=trunk&__spin_t=1570805219,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,31.13.92.36,,0,value,No response received
52,facebook,2019-10-11T17:29:51.198+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,0,-1,100,-1,0,-1,-1,172.217.22.35,,101,,
